0 Loading checkpoint models/117M/model.ckpt
0 Loading dataset...
100%|██████████| 1/1 [00:13<00:00, 13.45s/it]0 dataset has 355216800 tokens
0 Training...
2020-05-06 22:25:15.904112: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
[1 | 5.31] loss=3.60 avg=3.60
[2 | 6.14] loss=6.01 avg=4.81
[3 | 6.96] loss=5.15 avg=4.93
[4 | 7.77] loss=4.64 avg=4.85
[5 | 8.59] loss=4.81 avg=4.84
[6 | 9.41] loss=4.55 avg=4.79
[7 | 10.23] loss=4.66 avg=4.78
[8 | 11.05] loss=4.45 avg=4.73
[9 | 11.87] loss=4.29 avg=4.68
[10 | 12.69] loss=4.31 avg=4.64
[11 | 13.51] loss=4.30 avg=4.61
[12 | 14.33] loss=3.94 avg=4.55
[13 | 15.15] loss=4.79 avg=4.57
[14 | 15.97] loss=4.09 avg=4.53
[15 | 16.80] loss=4.50 avg=4.53
[16 | 17.62] loss=4.06 avg=4.50
[17 | 18.45] loss=4.00 avg=4.47
[18 | 19.27] loss=3.74 avg=4.42
[19 | 20.09] loss=3.93 avg=4.40
[20 | 20.92] loss=4.59 avg=4.41
[21 | 21.74] loss=3.88 avg=4.38
[22 | 22.57] loss=3.95 avg=4.36
[23 | 23.40] loss=3.95 avg=4.34
[24 | 24.22] loss=3.87 avg=4.32
[25 | 25.05] loss=4.08 avg=4.31
[26 | 25.88] loss=3.74 avg=4.28
[27 | 26.71] loss=3.82 avg=4.26
[28 | 27.54] loss=4.24 avg=4.26
[29 | 28.37] loss=3.77 avg=4.24
[30 | 29.20] loss=4.25 avg=4.24
[31 | 30.03] loss=3.87 avg=4.23
[32 | 30.86] loss=3.94 avg=4.22
[33 | 31.70] loss=4.05 avg=4.21
[34 | 32.53] loss=3.73 avg=4.19
[35 | 33.36] loss=4.18 avg=4.19
[36 | 34.20] loss=3.67 avg=4.18
[37 | 35.03] loss=3.80 avg=4.16
[38 | 35.86] loss=4.03 avg=4.16
[39 | 36.70] loss=4.08 avg=4.16
[40 | 37.53] loss=3.62 avg=4.14
[41 | 38.37] loss=4.18 avg=4.14
[42 | 39.20] loss=3.85 avg=4.13
[43 | 40.04] loss=4.30 avg=4.14
[44 | 40.87] loss=3.80 avg=4.13
[45 | 41.71] loss=3.77 avg=4.12
[46 | 42.55] loss=4.05 avg=4.12
[47 | 43.39] loss=3.75 avg=4.11
[48 | 44.23] loss=3.85 avg=4.10
[49 | 45.07] loss=3.80 avg=4.09
[50 | 45.91] loss=3.55 avg=4.08
[51 | 46.75] loss=3.58 avg=4.07
[52 | 47.59] loss=3.86 avg=4.06
[53 | 48.43] loss=3.92 avg=4.06
[54 | 49.27] loss=3.53 avg=4.05
[55 | 50.11] loss=3.74 avg=4.04
[56 | 50.95] loss=3.50 avg=4.03
[57 | 51.80] loss=3.55 avg=4.02
[58 | 52.64] loss=3.35 avg=4.00
[59 | 53.48] loss=3.80 avg=4.00
[60 | 54.33] loss=3.69 avg=3.99
[61 | 55.17] loss=3.50 avg=3.98
[62 | 56.02] loss=3.51 avg=3.97
[63 | 56.87] loss=3.74 avg=3.96
[64 | 57.71] loss=3.98 avg=3.96
[65 | 58.56] loss=3.82 avg=3.96
[66 | 59.40] loss=3.50 avg=3.95
[67 | 60.25] loss=3.53 avg=3.94
[68 | 61.10] loss=3.82 avg=3.94
[69 | 61.94] loss=3.54 avg=3.93
[70 | 62.79] loss=3.27 avg=3.92
[71 | 63.64] loss=3.83 avg=3.92
[72 | 64.49] loss=3.81 avg=3.91
[73 | 65.33] loss=3.93 avg=3.92
[74 | 66.18] loss=4.09 avg=3.92
[75 | 67.03] loss=3.90 avg=3.92
[76 | 67.88] loss=3.84 avg=3.92
[77 | 68.74] loss=3.70 avg=3.91
[78 | 69.59] loss=3.71 avg=3.91
[79 | 70.44] loss=3.83 avg=3.91
[80 | 71.29] loss=3.74 avg=3.90
[81 | 72.15] loss=3.72 avg=3.90
[82 | 73.00] loss=3.57 avg=3.90
[83 | 73.85] loss=3.75 avg=3.89
[84 | 74.71] loss=3.62 avg=3.89
[85 | 75.56] loss=3.77 avg=3.89
[86 | 76.42] loss=3.51 avg=3.88
[87 | 77.27] loss=3.79 avg=3.88
[88 | 78.12] loss=3.38 avg=3.87
[89 | 78.97] loss=3.56 avg=3.86
[90 | 79.83] loss=4.19 avg=3.87
[91 | 80.69] loss=3.58 avg=3.86
[92 | 81.54] loss=3.66 avg=3.86
[93 | 82.40] loss=3.63 avg=3.86
[94 | 83.25] loss=3.61 avg=3.85
[95 | 84.11] loss=3.65 avg=3.85
[96 | 84.97] loss=3.94 avg=3.85
[97 | 85.82] loss=3.90 avg=3.85
[98 | 86.69] loss=3.59 avg=3.85
[99 | 87.54] loss=3.56 avg=3.84
[100 | 88.40] loss=3.79 avg=3.84
[101 | 89.26] loss=3.95 avg=3.84
[102 | 90.12] loss=3.61 avg=3.84
[103 | 90.98] loss=3.69 avg=3.84
[104 | 91.84] loss=3.76 avg=3.84
[105 | 92.71] loss=4.01 avg=3.84
[106 | 93.57] loss=3.56 avg=3.84
[107 | 94.43] loss=4.03 avg=3.84
[108 | 95.29] loss=3.40 avg=3.83
[109 | 96.16] loss=3.54 avg=3.83
[110 | 97.02] loss=3.61 avg=3.82
[111 | 97.89] loss=3.54 avg=3.82
[112 | 98.75] loss=3.29 avg=3.81
[113 | 99.62] loss=3.74 avg=3.81
[114 | 100.48] loss=3.71 avg=3.81
[115 | 101.35] loss=3.94 avg=3.81
[116 | 102.22] loss=3.54 avg=3.81
[117 | 103.09] loss=3.36 avg=3.80
[118 | 103.96] loss=3.53 avg=3.80
[119 | 104.82] loss=3.44 avg=3.79
[120 | 105.69] loss=3.70 avg=3.79
[121 | 106.56] loss=3.97 avg=3.79
[122 | 107.43] loss=3.80 avg=3.79
[123 | 108.30] loss=3.68 avg=3.79
[124 | 109.18] loss=3.80 avg=3.79
[125 | 110.05] loss=3.47 avg=3.79
[126 | 110.92] loss=3.89 avg=3.79
[127 | 111.80] loss=3.54 avg=3.79
[128 | 112.67] loss=3.74 avg=3.79
[129 | 113.54] loss=3.82 avg=3.79
[130 | 114.42] loss=3.55 avg=3.78
[131 | 115.29] loss=3.71 avg=3.78
[132 | 116.16] loss=3.13 avg=3.77
[133 | 117.04] loss=3.58 avg=3.77
[134 | 117.91] loss=3.94 avg=3.77
[135 | 118.79] loss=3.45 avg=3.77
[136 | 119.66] loss=3.80 avg=3.77
[137 | 120.54] loss=3.67 avg=3.77
[138 | 121.41] loss=4.03 avg=3.77
[139 | 122.29] loss=3.40 avg=3.77
[140 | 123.16] loss=3.98 avg=3.77
[141 | 124.04] loss=3.31 avg=3.76
[142 | 124.92] loss=3.71 avg=3.76
[143 | 125.79] loss=3.17 avg=3.75
[144 | 126.67] loss=3.50 avg=3.75
[145 | 127.55] loss=3.63 avg=3.75
[146 | 128.43] loss=3.56 avg=3.75
[147 | 129.31] loss=3.60 avg=3.74
[148 | 130.19] loss=3.65 avg=3.74
[149 | 131.07] loss=3.17 avg=3.74
[150 | 131.95] loss=3.89 avg=3.74
[151 | 132.83] loss=3.72 avg=3.74
[152 | 133.71] loss=3.60 avg=3.74
[153 | 134.59] loss=3.73 avg=3.74
[154 | 135.47] loss=3.45 avg=3.73
[155 | 136.36] loss=3.86 avg=3.73
[156 | 137.24] loss=3.97 avg=3.74
