0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading dataset...
0 Loading dataset...
100%|██████████| 1/1 [00:13<00:00, 13.58s/it]0 dataset has 355216800 tokens
0 Training...
100%|██████████| 1/1 [00:13<00:00, 13.75s/it]0 dataset has 355216800 tokens
0 Training...
2020-05-06 23:23:22.659537: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 23:23:22.733768: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
[1 | 7.03] loss=3.65 avg=3.65
[2 | 8.58] loss=5.56 avg=4.61
[3 | 10.13] loss=5.91 avg=5.05
[4 | 11.69] loss=4.80 avg=4.98
[5 | 13.25] loss=4.92 avg=4.97
[6 | 14.80] loss=4.34 avg=4.86
[7 | 16.36] loss=4.07 avg=4.75
[8 | 17.90] loss=3.97 avg=4.65
[9 | 19.45] loss=4.17 avg=4.59
[10 | 21.20] loss=4.24 avg=4.55
[11 | 22.74] loss=4.17 avg=4.52
[12 | 24.45] loss=3.78 avg=4.45
[13 | 26.01] loss=3.53 avg=4.38
[14 | 27.57] loss=3.74 avg=4.33
[15 | 29.14] loss=4.06 avg=4.31
[16 | 30.72] loss=3.76 avg=4.27
[17 | 32.27] loss=3.93 avg=4.25
[18 | 33.82] loss=4.03 avg=4.24
[19 | 35.55] loss=3.68 avg=4.20
[20 | 37.10] loss=3.70 avg=4.18
[21 | 38.67] loss=3.89 avg=4.16
[22 | 40.26] loss=3.44 avg=4.13
[23 | 41.85] loss=3.77 avg=4.11
[24 | 43.42] loss=3.83 avg=4.10
[25 | 44.99] loss=3.61 avg=4.07
[26 | 46.55] loss=3.85 avg=4.06
[27 | 48.14] loss=3.74 avg=4.05
[28 | 49.71] loss=3.97 avg=4.05
[29 | 51.29] loss=3.43 avg=4.02
[30 | 52.87] loss=4.01 avg=4.02
[31 | 54.46] loss=3.70 avg=4.01
[32 | 56.07] loss=3.74 avg=4.00
[33 | 57.65] loss=3.27 avg=3.97
[34 | 59.21] loss=3.67 avg=3.96
[35 | 60.81] loss=3.51 avg=3.95
[36 | 62.42] loss=3.71 avg=3.94
[37 | 64.02] loss=3.92 avg=3.94
[38 | 65.57] loss=3.48 avg=3.93
[39 | 67.30] loss=3.96 avg=3.93
[40 | 68.86] loss=3.45 avg=3.91
[41 | 70.43] loss=3.49 avg=3.90
[42 | 71.99] loss=3.57 avg=3.89
[43 | 73.57] loss=3.65 avg=3.88
[44 | 75.14] loss=3.62 avg=3.88
[45 | 76.72] loss=3.52 avg=3.87
[46 | 78.43] loss=3.83 avg=3.87
[47 | 80.00] loss=3.31 avg=3.85
[48 | 81.59] loss=3.82 avg=3.85
[49 | 83.17] loss=3.99 avg=3.85
[50 | 84.74] loss=3.80 avg=3.85
[51 | 86.33] loss=3.56 avg=3.84
[52 | 87.90] loss=3.89 avg=3.85
[53 | 89.50] loss=3.66 avg=3.84
[54 | 91.06] loss=3.46 avg=3.83
[55 | 92.64] loss=3.37 avg=3.82
[56 | 94.21] loss=3.53 avg=3.81
[57 | 95.79] loss=3.60 avg=3.81
[58 | 97.38] loss=3.89 avg=3.81
[59 | 98.97] loss=3.77 avg=3.81
[60 | 100.55] loss=3.92 avg=3.81
[61 | 102.13] loss=3.80 avg=3.81
[62 | 103.86] loss=3.76 avg=3.81
[63 | 105.44] loss=3.73 avg=3.81
[64 | 107.05] loss=3.72 avg=3.81
[65 | 108.67] loss=3.31 avg=3.80
[66 | 110.27] loss=3.82 avg=3.80
[67 | 111.85] loss=3.45 avg=3.79
[68 | 113.44] loss=3.35 avg=3.78
[69 | 115.25] loss=4.13 avg=3.79
[70 | 116.84] loss=3.74 avg=3.79
[71 | 118.45] loss=3.42 avg=3.78
[72 | 120.04] loss=3.52 avg=3.78
[73 | 121.66] loss=3.66 avg=3.77
[74 | 123.24] loss=3.34 avg=3.77
[75 | 124.83] loss=3.90 avg=3.77
[76 | 126.43] loss=3.51 avg=3.76
[77 | 128.02] loss=3.50 avg=3.76
[78 | 129.59] loss=3.50 avg=3.75
[79 | 131.18] loss=3.74 avg=3.75
[80 | 132.76] loss=3.19 avg=3.74
[81 | 134.35] loss=3.47 avg=3.74
[82 | 135.96] loss=4.03 avg=3.74
[83 | 137.53] loss=3.97 avg=3.75
[84 | 139.11] loss=3.45 avg=3.74
[85 | 140.71] loss=3.14 avg=3.73
[86 | 142.30] loss=3.28 avg=3.72
[87 | 143.89] loss=3.35 avg=3.72
[88 | 145.49] loss=2.99 avg=3.70
[89 | 147.09] loss=3.40 avg=3.70
[90 | 148.86] loss=3.51 avg=3.70
[91 | 150.45] loss=3.63 avg=3.70
[92 | 152.04] loss=3.57 avg=3.69
[93 | 153.62] loss=3.72 avg=3.69
[94 | 155.21] loss=3.71 avg=3.69
[95 | 156.84] loss=3.01 avg=3.68
[96 | 158.45] loss=3.45 avg=3.68
[97 | 160.04] loss=3.16 avg=3.67
[98 | 161.63] loss=3.71 avg=3.67
[99 | 163.23] loss=3.16 avg=3.66
[100 | 164.82] loss=3.61 avg=3.66
[101 | 166.41] loss=3.38 avg=3.66
[102 | 168.07] loss=3.57 avg=3.66
[103 | 169.67] loss=3.42 avg=3.65
[104 | 171.25] loss=3.41 avg=3.65
[105 | 173.01] loss=3.37 avg=3.65
[106 | 174.74] loss=3.80 avg=3.65
[107 | 176.49] loss=3.71 avg=3.65
[108 | 178.10] loss=3.64 avg=3.65
[109 | 179.70] loss=3.48 avg=3.65
[110 | 181.30] loss=3.65 avg=3.65
[111 | 183.10] loss=3.29 avg=3.64
[112 | 184.71] loss=3.57 avg=3.64
[113 | 186.31] loss=3.38 avg=3.64
[114 | 187.91] loss=3.79 avg=3.64
[115 | 189.53] loss=3.31 avg=3.63
[116 | 191.16] loss=3.43 avg=3.63
[117 | 192.74] loss=3.54 avg=3.63
[118 | 194.36] loss=3.30 avg=3.62
[119 | 195.98] loss=3.75 avg=3.63
[120 | 197.56] loss=3.48 avg=3.62
[121 | 199.19] loss=3.60 avg=3.62
[122 | 200.79] loss=3.36 avg=3.62
[123 | 202.37] loss=3.31 avg=3.62
[124 | 203.96] loss=3.54 avg=3.61
[125 | 205.55] loss=3.18 avg=3.61
[126 | 207.13] loss=3.51 avg=3.61
[127 | 208.71] loss=3.56 avg=3.61
[128 | 210.28] loss=3.35 avg=3.60
[129 | 211.87] loss=3.90 avg=3.61
[130 | 213.45] loss=3.81 avg=3.61
[131 | 215.02] loss=3.51 avg=3.61
[132 | 216.62] loss=3.25 avg=3.60
[133 | 218.25] loss=3.53 avg=3.60
[134 | 219.83] loss=3.39 avg=3.60
[135 | 221.56] loss=3.40 avg=3.60
[136 | 223.29] loss=3.61 avg=3.60
[137 | 224.90] loss=3.54 avg=3.60
[138 | 226.51] loss=3.56 avg=3.60
[139 | 228.08] loss=3.44 avg=3.59
[140 | 229.67] loss=3.39 avg=3.59
[141 | 231.29] loss=3.95 avg=3.60
[142 | 232.96] loss=3.80 avg=3.60
[143 | 234.54] loss=3.20 avg=3.59
[144 | 236.15] loss=3.47 avg=3.59
[145 | 237.74] loss=3.49 avg=3.59
[146 | 239.32] loss=3.52 avg=3.59
[147 | 240.91] loss=3.33 avg=3.59
[148 | 242.56] loss=3.29 avg=3.58
[149 | 244.21] loss=3.45 avg=3.58
[150 | 245.84] loss=3.71 avg=3.58
[151 | 247.43] loss=3.73 avg=3.58
[152 | 249.01] loss=3.29 avg=3.58
[153 | 250.62] loss=3.12 avg=3.57
[154 | 252.33] loss=2.98 avg=3.57
[155 | 253.91] loss=3.48 avg=3.57
[156 | 255.51] loss=3.59 avg=3.57
[157 | 257.09] loss=3.17 avg=3.56
[158 | 258.70] loss=3.51 avg=3.56
[159 | 260.32] loss=3.22 avg=3.56
[160 | 261.95] loss=3.45 avg=3.55
[161 | 263.55] loss=3.22 avg=3.55
[162 | 265.14] loss=2.90 avg=3.54
[163 | 266.72] loss=3.40 avg=3.54
[164 | 268.33] loss=3.78 avg=3.54
[165 | 269.92] loss=3.49 avg=3.54
[166 | 271.53] loss=3.57 avg=3.54
[167 | 273.12] loss=3.04 avg=3.54
[168 | 274.71] loss=3.38 avg=3.54
[169 | 276.29] loss=3.43 avg=3.53
[170 | 277.87] loss=3.53 avg=3.53
[171 | 279.48] loss=3.46 avg=3.53
[172 | 281.08] loss=3.70 avg=3.54
[173 | 282.67] loss=3.69 avg=3.54
[174 | 284.25] loss=3.60 avg=3.54
[175 | 285.86] loss=3.47 avg=3.54
[176 | 287.63] loss=3.44 avg=3.54
[177 | 289.24] loss=3.45 avg=3.53
[178 | 290.83] loss=3.75 avg=3.54
[179 | 292.45] loss=3.56 avg=3.54
[180 | 294.20] loss=3.58 avg=3.54
[181 | 295.80] loss=3.61 avg=3.54
[182 | 297.39] loss=3.26 avg=3.54
[183 | 298.99] loss=3.59 avg=3.54
[184 | 300.59] loss=3.47 avg=3.54
[185 | 302.19] loss=3.48 avg=3.53
[186 | 303.78] loss=3.56 avg=3.54
[187 | 305.38] loss=3.50 avg=3.53
[188 | 306.96] loss=3.61 avg=3.54
[189 | 308.62] loss=3.50 avg=3.54
[190 | 310.24] loss=3.40 avg=3.53
[191 | 311.83] loss=3.50 avg=3.53
[192 | 313.42] loss=3.08 avg=3.53
[193 | 315.02] loss=3.55 avg=3.53
[194 | 316.61] loss=3.36 avg=3.53
[195 | 318.20] loss=3.47 avg=3.53
[196 | 319.81] loss=3.48 avg=3.53
[197 | 321.42] loss=3.31 avg=3.52
[198 | 323.01] loss=3.83 avg=3.53
[199 | 324.60] loss=3.30 avg=3.52
[200 | 326.19] loss=3.20 avg=3.52
[201 | 327.79] loss=3.59 avg=3.52
[202 | 329.38] loss=3.51 avg=3.52
[203 | 330.97] loss=3.56 avg=3.52
[204 | 332.56] loss=3.56 avg=3.52
[205 | 334.16] loss=3.45 avg=3.52
[206 | 335.76] loss=3.38 avg=3.52
[207 | 337.37] loss=3.63 avg=3.52
[208 | 338.96] loss=3.30 avg=3.52
[209 | 340.57] loss=3.39 avg=3.52
[210 | 342.15] loss=3.69 avg=3.52
[211 | 343.73] loss=3.37 avg=3.52
[212 | 345.34] loss=3.93 avg=3.52
[213 | 346.95] loss=3.27 avg=3.52
[214 | 348.53] loss=3.15 avg=3.51
[215 | 350.12] loss=3.46 avg=3.51
[216 | 351.74] loss=3.43 avg=3.51
[217 | 353.32] loss=3.35 avg=3.51
[218 | 354.93] loss=3.62 avg=3.51
[219 | 356.51] loss=3.42 avg=3.51
[220 | 358.12] loss=4.23 avg=3.52
[221 | 359.70] loss=3.51 avg=3.52
[222 | 361.29] loss=3.55 avg=3.52
[223 | 362.88] loss=3.73 avg=3.52
[224 | 364.45] loss=3.32 avg=3.52
[225 | 366.03] loss=3.40 avg=3.52
[226 | 367.61] loss=3.92 avg=3.52
[227 | 369.21] loss=3.53 avg=3.52
[228 | 370.82] loss=3.43 avg=3.52
[229 | 372.40] loss=3.62 avg=3.52
[230 | 374.00] loss=3.32 avg=3.52
[231 | 375.59] loss=3.17 avg=3.52
[232 | 377.17] loss=3.62 avg=3.52
[233 | 378.80] loss=3.87 avg=3.52
[234 | 380.44] loss=3.42 avg=3.52
[235 | 382.01] loss=3.83 avg=3.52
[236 | 383.60] loss=3.58 avg=3.52
[237 | 385.17] loss=3.63 avg=3.53
[238 | 386.74] loss=3.46 avg=3.52
[239 | 388.35] loss=3.38 avg=3.52
[240 | 389.93] loss=3.23 avg=3.52
[241 | 391.52] loss=3.35 avg=3.52
[242 | 393.10] loss=2.92 avg=3.51
[243 | 394.70] loss=3.37 avg=3.51
[244 | 396.30] loss=3.66 avg=3.51
[245 | 397.89] loss=3.38 avg=3.51
[246 | 399.47] loss=3.99 avg=3.52
[247 | 401.05] loss=3.38 avg=3.51
[248 | 402.67] loss=2.97 avg=3.51
[249 | 404.27] loss=3.35 avg=3.51
[250 | 405.85] loss=3.65 avg=3.51
[251 | 407.45] loss=3.50 avg=3.51
[252 | 409.04] loss=3.55 avg=3.51
[253 | 410.62] loss=3.43 avg=3.51
[254 | 412.21] loss=3.37 avg=3.51
[255 | 413.97] loss=3.17 avg=3.50
[256 | 415.61] loss=3.49 avg=3.50
[257 | 417.19] loss=3.30 avg=3.50
[258 | 418.79] loss=3.60 avg=3.50
[259 | 420.41] loss=3.71 avg=3.50
[260 | 422.04] loss=3.14 avg=3.50
[261 | 423.63] loss=3.23 avg=3.50
[262 | 425.25] loss=3.69 avg=3.50
[263 | 426.84] loss=3.18 avg=3.50
[264 | 428.42] loss=3.33 avg=3.49
[265 | 430.02] loss=3.55 avg=3.49
[266 | 431.62] loss=3.64 avg=3.50
[267 | 433.25] loss=3.33 avg=3.49
[268 | 434.87] loss=3.44 avg=3.49
[269 | 436.48] loss=3.31 avg=3.49
[270 | 438.09] loss=3.33 avg=3.49
[271 | 439.68] loss=3.36 avg=3.49
[272 | 441.27] loss=3.66 avg=3.49
[273 | 442.86] loss=3.49 avg=3.49
[274 | 444.48] loss=3.27 avg=3.49
[275 | 446.08] loss=3.22 avg=3.48
[276 | 447.69] loss=3.62 avg=3.49
[277 | 449.30] loss=3.43 avg=3.49
[278 | 450.91] loss=3.60 avg=3.49
[279 | 452.52] loss=3.57 avg=3.49
[280 | 454.11] loss=4.05 avg=3.49
[281 | 455.70] loss=3.48 avg=3.49
[282 | 457.30] loss=3.63 avg=3.49
[283 | 458.89] loss=3.27 avg=3.49
[284 | 460.50] loss=3.55 avg=3.49
[285 | 462.09] loss=3.65 avg=3.49
[286 | 463.69] loss=3.44 avg=3.49
[287 | 465.27] loss=3.19 avg=3.49
[288 | 466.86] loss=3.33 avg=3.49
[289 | 468.44] loss=3.39 avg=3.49
[290 | 470.04] loss=3.51 avg=3.49
[291 | 471.63] loss=3.34 avg=3.49
[292 | 473.22] loss=3.42 avg=3.49
[293 | 474.83] loss=3.54 avg=3.49
[294 | 476.41] loss=3.51 avg=3.49
[295 | 478.21] loss=3.75 avg=3.49
[296 | 479.80] loss=3.24 avg=3.49
[297 | 481.38] loss=3.33 avg=3.49
[298 | 482.97] loss=3.33 avg=3.48
[299 | 484.58] loss=3.26 avg=3.48
[300 | 486.18] loss=3.48 avg=3.48
[301 | 487.77] loss=3.81 avg=3.48
[302 | 489.35] loss=3.89 avg=3.49
[303 | 490.92] loss=3.36 avg=3.49
[304 | 492.55] loss=3.12 avg=3.48
[305 | 494.13] loss=3.51 avg=3.48
[306 | 495.73] loss=3.21 avg=3.48
[307 | 497.33] loss=3.33 avg=3.48
[308 | 498.93] loss=3.41 avg=3.48
[309 | 500.52] loss=3.71 avg=3.48
[310 | 502.10] loss=3.45 avg=3.48
[311 | 503.68] loss=3.33 avg=3.48
[312 | 505.28] loss=3.86 avg=3.48
[313 | 506.85] loss=3.44 avg=3.48
[314 | 508.44] loss=3.49 avg=3.48
[315 | 510.03] loss=3.53 avg=3.48
[316 | 511.62] loss=3.32 avg=3.48
[317 | 513.24] loss=3.15 avg=3.48
[318 | 514.85] loss=3.19 avg=3.48
[319 | 516.43] loss=3.37 avg=3.47
[320 | 518.02] loss=3.11 avg=3.47
[321 | 519.67] loss=3.26 avg=3.47
[322 | 521.27] loss=2.95 avg=3.46
[323 | 522.87] loss=3.23 avg=3.46
[324 | 524.48] loss=3.47 avg=3.46
[325 | 526.12] loss=3.27 avg=3.46
[326 | 527.71] loss=3.25 avg=3.46
[327 | 529.32] loss=3.15 avg=3.45
[328 | 530.96] loss=3.46 avg=3.45
[329 | 532.55] loss=3.40 avg=3.45
[330 | 534.14] loss=3.55 avg=3.45
[331 | 535.73] loss=3.54 avg=3.45
[332 | 537.32] loss=3.34 avg=3.45
[333 | 539.09] loss=3.28 avg=3.45
[334 | 540.68] loss=3.61 avg=3.45
[335 | 542.29] loss=3.43 avg=3.45
[336 | 543.86] loss=3.16 avg=3.45
[337 | 545.47] loss=3.61 avg=3.45
[338 | 547.07] loss=3.21 avg=3.45
[339 | 548.66] loss=3.65 avg=3.45
[340 | 550.28] loss=3.63 avg=3.45
[341 | 551.88] loss=3.20 avg=3.45
[342 | 553.47] loss=3.34 avg=3.45
[343 | 555.07] loss=3.24 avg=3.45
[344 | 556.65] loss=3.26 avg=3.45
[345 | 558.27] loss=3.65 avg=3.45
[346 | 559.91] loss=3.54 avg=3.45
[347 | 561.51] loss=3.37 avg=3.45
[348 | 563.15] loss=3.26 avg=3.45
[349 | 564.77] loss=3.29 avg=3.44
[350 | 566.37] loss=3.58 avg=3.45
[351 | 567.97] loss=3.19 avg=3.44
[352 | 569.58] loss=3.18 avg=3.44
[353 | 571.17] loss=2.65 avg=3.43
[354 | 572.81] loss=3.56 avg=3.43
[355 | 574.41] loss=3.71 avg=3.44
[356 | 576.02] loss=3.54 avg=3.44
[357 | 577.63] loss=3.11 avg=3.43
[358 | 579.25] loss=3.35 avg=3.43
[359 | 580.85] loss=2.93 avg=3.43
[360 | 582.48] loss=3.45 avg=3.43
[361 | 584.07] loss=3.28 avg=3.43
[362 | 585.66] loss=3.24 avg=3.42
[363 | 587.28] loss=3.32 avg=3.42
[364 | 588.87] loss=3.74 avg=3.43
[365 | 590.46] loss=3.20 avg=3.42
[366 | 592.08] loss=3.21 avg=3.42
[367 | 593.67] loss=3.26 avg=3.42
[368 | 595.33] loss=3.71 avg=3.42
[369 | 596.92] loss=3.80 avg=3.43
[370 | 598.54] loss=3.31 avg=3.43
[371 | 600.14] loss=3.13 avg=3.42
[372 | 601.73] loss=3.33 avg=3.42
[373 | 603.34] loss=3.30 avg=3.42
[374 | 604.99] loss=3.69 avg=3.42
[375 | 606.67] loss=3.43 avg=3.42
[376 | 608.26] loss=3.68 avg=3.43
[377 | 609.85] loss=3.29 avg=3.43
[378 | 611.44] loss=3.76 avg=3.43
[379 | 613.07] loss=3.45 avg=3.43
[380 | 614.67] loss=3.46 avg=3.43
[381 | 616.25] loss=3.68 avg=3.43
[382 | 617.88] loss=3.58 avg=3.43
[383 | 619.47] loss=3.49 avg=3.43
[384 | 621.07] loss=3.56 avg=3.43
[385 | 622.66] loss=3.41 avg=3.43
[386 | 624.29] loss=3.50 avg=3.44
[387 | 625.90] loss=3.39 avg=3.43
[388 | 627.50] loss=3.26 avg=3.43
[389 | 629.10] loss=3.05 avg=3.43
[390 | 630.71] loss=3.38 avg=3.43
[391 | 632.50] loss=3.66 avg=3.43
[392 | 634.08] loss=3.49 avg=3.43
[393 | 635.72] loss=3.27 avg=3.43
[394 | 637.29] loss=3.54 avg=3.43
[395 | 638.89] loss=3.85 avg=3.44
[396 | 640.49] loss=3.25 avg=3.43
[397 | 642.14] loss=3.36 avg=3.43
[398 | 643.74] loss=3.70 avg=3.44
[399 | 645.35] loss=3.33 avg=3.43
[400 | 646.95] loss=3.25 avg=3.43
[401 | 648.59] loss=3.19 avg=3.43
[402 | 650.24] loss=3.35 avg=3.43
[403 | 651.82] loss=3.32 avg=3.43
[404 | 653.42] loss=3.26 avg=3.43
[405 | 655.02] loss=3.77 avg=3.43
[406 | 656.63] loss=3.21 avg=3.43
[407 | 658.24] loss=3.23 avg=3.43
[408 | 659.82] loss=3.46 avg=3.43
[409 | 661.40] loss=3.46 avg=3.43
[410 | 663.00] loss=3.49 avg=3.43
[411 | 664.59] loss=3.47 avg=3.43
[412 | 666.19] loss=3.36 avg=3.43
[413 | 667.82] loss=3.23 avg=3.42
[414 | 669.43] loss=2.93 avg=3.42
[415 | 671.02] loss=3.26 avg=3.42
[416 | 672.62] loss=2.89 avg=3.41
[417 | 674.21] loss=3.44 avg=3.41
[418 | 675.84] loss=3.52 avg=3.41
[419 | 677.49] loss=3.22 avg=3.41
[420 | 679.08] loss=3.47 avg=3.41
[421 | 680.67] loss=3.38 avg=3.41
[422 | 682.28] loss=3.05 avg=3.41
[423 | 683.89] loss=3.57 avg=3.41
[424 | 685.49] loss=3.74 avg=3.41
[425 | 687.08] loss=3.33 avg=3.41
[426 | 688.67] loss=3.48 avg=3.41
[427 | 690.28] loss=3.20 avg=3.41
[428 | 691.87] loss=3.55 avg=3.41
[429 | 693.46] loss=3.09 avg=3.41
[430 | 695.06] loss=3.43 avg=3.41
[431 | 696.66] loss=3.08 avg=3.41
[432 | 698.25] loss=3.42 avg=3.41
[433 | 699.84] loss=3.26 avg=3.41
[434 | 701.45] loss=3.16 avg=3.40
[435 | 703.04] loss=3.22 avg=3.40
[436 | 704.65] loss=3.37 avg=3.40
[437 | 706.41] loss=3.22 avg=3.40
[438 | 708.01] loss=3.22 avg=3.40
[439 | 709.60] loss=4.31 avg=3.41
[440 | 711.24] loss=2.96 avg=3.40
[441 | 712.83] loss=3.59 avg=3.40
[442 | 714.43] loss=2.95 avg=3.40
[443 | 716.03] loss=3.30 avg=3.40
[444 | 717.64] loss=3.46 avg=3.40
[445 | 719.23] loss=3.25 avg=3.40
[446 | 720.83] loss=3.31 avg=3.40
[447 | 722.42] loss=3.34 avg=3.40
[448 | 724.03] loss=3.84 avg=3.40
[449 | 725.79] loss=3.10 avg=3.40
[450 | 727.37] loss=3.36 avg=3.40
[451 | 728.98] loss=3.08 avg=3.39
[452 | 730.58] loss=3.35 avg=3.39
[453 | 732.17] loss=3.28 avg=3.39
[454 | 733.77] loss=3.41 avg=3.39
[455 | 735.37] loss=3.19 avg=3.39
[456 | 736.96] loss=3.07 avg=3.39
[457 | 738.58] loss=3.62 avg=3.39
[458 | 740.17] loss=3.39 avg=3.39
[459 | 741.76] loss=3.59 avg=3.39
[460 | 743.37] loss=3.80 avg=3.40
[461 | 744.96] loss=3.44 avg=3.40
[462 | 746.56] loss=3.61 avg=3.40
[463 | 748.17] loss=3.30 avg=3.40
[464 | 749.77] loss=3.74 avg=3.40
[465 | 751.36] loss=3.09 avg=3.40
[466 | 753.00] loss=3.35 avg=3.40
[467 | 754.60] loss=3.25 avg=3.40
[468 | 756.20] loss=3.42 avg=3.40
[469 | 757.84] loss=3.50 avg=3.40
[470 | 759.42] loss=3.52 avg=3.40
[471 | 761.04] loss=3.68 avg=3.40
[472 | 762.65] loss=3.48 avg=3.40
[473 | 764.24] loss=3.54 avg=3.40
[474 | 765.84] loss=3.20 avg=3.40
[475 | 767.44] loss=3.60 avg=3.40
[476 | 769.06] loss=3.30 avg=3.40
[477 | 770.66] loss=3.45 avg=3.40
[478 | 772.27] loss=3.52 avg=3.40
[479 | 773.87] loss=3.38 avg=3.40
[480 | 775.49] loss=3.13 avg=3.40
[481 | 777.13] loss=3.14 avg=3.40
[482 | 778.72] loss=3.36 avg=3.40
[483 | 780.32] loss=3.47 avg=3.40
[484 | 781.95] loss=3.40 avg=3.40
[485 | 783.55] loss=3.60 avg=3.40
[486 | 785.15] loss=3.28 avg=3.40
[487 | 786.75] loss=3.30 avg=3.40
