0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading dataset...
0 Loading dataset...
0 Loading dataset...
100%|██████████| 1/1 [00:13<00:00, 13.74s/it]0 dataset has 355216800 tokens
0 Training...
100%|██████████| 1/1 [00:13<00:00, 13.78s/it]0 dataset has 355216800 tokens
0 Training...
100%|██████████| 1/1 [00:13<00:00, 13.84s/it]0 dataset has 355216800 tokens
0 Training...
2020-05-06 23:05:56.575113: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 23:05:56.691725: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 23:05:57.037569: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
[1 | 7.51] loss=3.80 avg=3.80
[2 | 9.32] loss=5.89 avg=4.85
[3 | 11.13] loss=5.41 avg=5.04
[4 | 12.94] loss=3.93 avg=4.76
[5 | 14.75] loss=4.55 avg=4.71
[6 | 16.57] loss=4.16 avg=4.62
[7 | 18.38] loss=4.04 avg=4.53
[8 | 20.39] loss=4.19 avg=4.49
[9 | 22.23] loss=4.19 avg=4.46
[10 | 24.04] loss=4.14 avg=4.42
[11 | 25.87] loss=3.92 avg=4.37
[12 | 27.69] loss=3.71 avg=4.32
[13 | 29.52] loss=3.93 avg=4.28
[14 | 31.34] loss=3.84 avg=4.25
[15 | 33.16] loss=4.07 avg=4.24
[16 | 34.98] loss=3.76 avg=4.21
[17 | 36.80] loss=3.81 avg=4.18
[18 | 38.63] loss=3.79 avg=4.16
[19 | 40.44] loss=3.77 avg=4.13
[20 | 42.26] loss=3.94 avg=4.12
[21 | 44.09] loss=3.36 avg=4.08
[22 | 45.91] loss=3.84 avg=4.07
[23 | 47.73] loss=3.88 avg=4.06
[24 | 49.55] loss=3.76 avg=4.05
[25 | 51.37] loss=3.60 avg=4.03
[26 | 53.18] loss=3.62 avg=4.01
[27 | 55.00] loss=3.41 avg=3.98
[28 | 56.83] loss=3.90 avg=3.98
[29 | 58.66] loss=3.62 avg=3.97
[30 | 60.50] loss=3.58 avg=3.95
[31 | 62.33] loss=3.90 avg=3.95
[32 | 64.16] loss=3.69 avg=3.94
[33 | 65.98] loss=3.64 avg=3.93
[34 | 67.82] loss=3.57 avg=3.92
[35 | 69.64] loss=3.59 avg=3.91
[36 | 71.47] loss=3.49 avg=3.89
[37 | 73.30] loss=3.60 avg=3.88
[38 | 75.13] loss=3.22 avg=3.86
[39 | 76.97] loss=3.33 avg=3.85
[40 | 78.79] loss=3.87 avg=3.85
[41 | 80.62] loss=3.68 avg=3.84
[42 | 82.44] loss=3.53 avg=3.83
[43 | 84.28] loss=3.39 avg=3.82
[44 | 86.11] loss=3.80 avg=3.82
[45 | 87.94] loss=3.25 avg=3.80
[46 | 89.77] loss=3.71 avg=3.80
[47 | 91.61] loss=3.69 avg=3.80
[48 | 93.44] loss=3.15 avg=3.78
[49 | 95.28] loss=3.63 avg=3.78
[50 | 97.12] loss=3.43 avg=3.77
[51 | 98.95] loss=3.58 avg=3.76
[52 | 100.78] loss=4.04 avg=3.77
[53 | 102.61] loss=3.35 avg=3.76
[54 | 104.45] loss=3.47 avg=3.75
[55 | 106.28] loss=3.51 avg=3.75
[56 | 108.11] loss=3.35 avg=3.74
[57 | 109.95] loss=3.60 avg=3.74
[58 | 111.78] loss=3.81 avg=3.74
[59 | 113.62] loss=3.48 avg=3.73
[60 | 115.45] loss=3.42 avg=3.72
[61 | 117.29] loss=3.80 avg=3.73
[62 | 119.13] loss=3.60 avg=3.72
[63 | 120.96] loss=3.40 avg=3.72
[64 | 122.80] loss=3.42 avg=3.71
[65 | 124.64] loss=3.05 avg=3.70
[66 | 126.47] loss=3.74 avg=3.70
[67 | 128.31] loss=3.41 avg=3.69
[68 | 130.15] loss=3.53 avg=3.69
[69 | 131.99] loss=3.57 avg=3.69
[70 | 133.83] loss=3.49 avg=3.68
[71 | 135.68] loss=3.28 avg=3.67
[72 | 137.52] loss=3.44 avg=3.67
[73 | 139.36] loss=3.01 avg=3.66
[74 | 141.20] loss=3.44 avg=3.65
[75 | 143.04] loss=3.48 avg=3.65
[76 | 144.87] loss=3.45 avg=3.65
[77 | 146.71] loss=3.35 avg=3.64
[78 | 148.55] loss=3.57 avg=3.64
[79 | 150.39] loss=3.45 avg=3.64
[80 | 152.24] loss=3.21 avg=3.63
[81 | 154.08] loss=3.31 avg=3.62
[82 | 155.93] loss=3.32 avg=3.62
[83 | 157.77] loss=3.62 avg=3.62
[84 | 159.61] loss=3.61 avg=3.62
[85 | 161.46] loss=3.22 avg=3.61
[86 | 163.30] loss=3.36 avg=3.61
[87 | 165.15] loss=3.28 avg=3.60
[88 | 166.99] loss=3.45 avg=3.60
[89 | 168.83] loss=3.62 avg=3.60
[90 | 170.68] loss=3.58 avg=3.60
[91 | 172.52] loss=3.40 avg=3.59
[92 | 174.36] loss=3.35 avg=3.59
[93 | 176.21] loss=3.37 avg=3.59
[94 | 178.05] loss=3.70 avg=3.59
[95 | 179.90] loss=3.76 avg=3.59
[96 | 181.74] loss=3.25 avg=3.59
[97 | 183.60] loss=3.51 avg=3.58
[98 | 185.44] loss=3.57 avg=3.58
[99 | 187.30] loss=3.47 avg=3.58
[100 | 189.14] loss=3.34 avg=3.58
[101 | 190.99] loss=3.36 avg=3.58
[102 | 192.86] loss=3.31 avg=3.57
[103 | 194.70] loss=3.34 avg=3.57
[104 | 196.54] loss=3.50 avg=3.57
[105 | 198.39] loss=3.49 avg=3.57
[106 | 200.23] loss=3.21 avg=3.56
[107 | 202.07] loss=3.28 avg=3.56
[108 | 203.92] loss=3.15 avg=3.55
[109 | 205.76] loss=3.51 avg=3.55
[110 | 207.61] loss=3.45 avg=3.55
[111 | 209.46] loss=3.33 avg=3.54
[112 | 211.31] loss=2.98 avg=3.54
[113 | 213.15] loss=3.52 avg=3.54
[114 | 215.00] loss=3.48 avg=3.53
[115 | 216.84] loss=3.43 avg=3.53
[116 | 218.68] loss=3.46 avg=3.53
[117 | 220.53] loss=3.17 avg=3.53
[118 | 222.37] loss=3.87 avg=3.53
[119 | 224.23] loss=3.62 avg=3.53
[120 | 226.07] loss=3.33 avg=3.53
[121 | 227.93] loss=3.61 avg=3.53
[122 | 229.77] loss=3.59 avg=3.53
[123 | 231.63] loss=3.49 avg=3.53
[124 | 233.48] loss=3.66 avg=3.53
[125 | 235.33] loss=3.02 avg=3.53
[126 | 237.17] loss=2.95 avg=3.52
[127 | 239.02] loss=3.29 avg=3.52
[128 | 240.86] loss=3.60 avg=3.52
[129 | 242.71] loss=3.55 avg=3.52
[130 | 244.56] loss=3.54 avg=3.52
[131 | 246.40] loss=3.14 avg=3.51
[132 | 248.26] loss=3.56 avg=3.51
[133 | 250.11] loss=3.44 avg=3.51
[134 | 251.95] loss=3.40 avg=3.51
[135 | 253.81] loss=3.60 avg=3.51
[136 | 255.66] loss=3.20 avg=3.51
[137 | 257.51] loss=3.78 avg=3.51
[138 | 259.36] loss=3.20 avg=3.51
[139 | 261.21] loss=3.24 avg=3.50
[140 | 263.07] loss=3.46 avg=3.50
[141 | 264.92] loss=3.08 avg=3.50
[142 | 266.77] loss=3.66 avg=3.50
[143 | 268.62] loss=3.37 avg=3.50
[144 | 270.47] loss=3.31 avg=3.50
[145 | 272.31] loss=3.07 avg=3.49
[146 | 274.16] loss=3.49 avg=3.49
[147 | 276.01] loss=3.40 avg=3.49
[148 | 277.87] loss=3.23 avg=3.48
[149 | 279.72] loss=3.46 avg=3.48
[150 | 281.56] loss=3.25 avg=3.48
[151 | 283.44] loss=3.10 avg=3.48
[152 | 285.29] loss=3.29 avg=3.47
[153 | 287.14] loss=3.72 avg=3.48
[154 | 288.99] loss=3.58 avg=3.48
[155 | 290.84] loss=3.51 avg=3.48
[156 | 292.69] loss=3.38 avg=3.48
[157 | 294.54] loss=3.64 avg=3.48
[158 | 296.39] loss=3.05 avg=3.47
[159 | 298.24] loss=3.43 avg=3.47
[160 | 300.10] loss=3.61 avg=3.48
[161 | 301.95] loss=3.31 avg=3.47
[162 | 303.81] loss=3.35 avg=3.47
[163 | 305.65] loss=3.15 avg=3.47
[164 | 307.50] loss=3.58 avg=3.47
[165 | 309.35] loss=3.43 avg=3.47
[166 | 311.20] loss=3.36 avg=3.47
[167 | 313.05] loss=3.32 avg=3.47
[168 | 314.91] loss=3.39 avg=3.46
[169 | 316.77] loss=3.77 avg=3.47
[170 | 318.62] loss=3.56 avg=3.47
[171 | 320.47] loss=3.53 avg=3.47
[172 | 322.33] loss=3.53 avg=3.47
[173 | 324.18] loss=3.32 avg=3.47
[174 | 326.04] loss=3.11 avg=3.46
[175 | 327.89] loss=3.58 avg=3.47
[176 | 329.74] loss=3.14 avg=3.46
[177 | 331.59] loss=3.48 avg=3.46
[178 | 333.44] loss=3.39 avg=3.46
[179 | 335.29] loss=2.93 avg=3.46
[180 | 337.14] loss=3.48 avg=3.46
[181 | 338.99] loss=3.03 avg=3.45
[182 | 340.84] loss=3.58 avg=3.45
[183 | 342.69] loss=3.17 avg=3.45
[184 | 344.55] loss=3.35 avg=3.45
[185 | 346.41] loss=3.60 avg=3.45
[186 | 348.25] loss=3.13 avg=3.45
[187 | 350.10] loss=3.39 avg=3.45
[188 | 351.95] loss=3.16 avg=3.44
[189 | 353.80] loss=3.43 avg=3.44
[190 | 355.66] loss=3.57 avg=3.44
[191 | 357.51] loss=3.17 avg=3.44
[192 | 359.36] loss=3.49 avg=3.44
[193 | 361.22] loss=3.14 avg=3.44
[194 | 363.07] loss=3.38 avg=3.44
[195 | 364.92] loss=3.52 avg=3.44
[196 | 366.77] loss=3.08 avg=3.43
[197 | 368.63] loss=3.17 avg=3.43
[198 | 370.49] loss=3.74 avg=3.43
[199 | 372.34] loss=3.43 avg=3.43
[200 | 374.20] loss=3.50 avg=3.43
[201 | 376.06] loss=3.55 avg=3.44
[202 | 377.92] loss=3.48 avg=3.44
[203 | 379.77] loss=3.35 avg=3.44
[204 | 381.63] loss=3.60 avg=3.44
[205 | 383.49] loss=3.32 avg=3.44
[206 | 385.34] loss=3.37 avg=3.44
[207 | 387.20] loss=3.37 avg=3.43
[208 | 389.06] loss=3.43 avg=3.43
[209 | 390.90] loss=2.98 avg=3.43
[210 | 392.74] loss=3.02 avg=3.42
[211 | 394.57] loss=3.21 avg=3.42
