0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading dataset...
0 Loading dataset...
0 Loading dataset...
0 Loading dataset...
100%|██████████| 1/1 [00:13<00:00, 13.51s/it]0 dataset has 355216800 tokens
0 Training...
100%|██████████| 1/1 [00:13<00:00, 13.77s/it]0 dataset has 355216800 tokens
0 Training...
100%|██████████| 1/1 [00:13<00:00, 13.77s/it]0 dataset has 355216800 tokens
0 Training...
100%|██████████| 1/1 [00:13<00:00, 13.88s/it]0 dataset has 355216800 tokens
0 Training...
2020-05-06 22:47:23.139788: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 22:47:23.453371: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 22:47:23.646914: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 22:47:23.703871: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
[1 | 7.69] loss=3.58 avg=3.58
[2 | 9.70] loss=6.40 avg=5.00
[3 | 11.67] loss=6.14 avg=5.38
[4 | 13.65] loss=5.26 avg=5.35
[5 | 15.62] loss=4.49 avg=5.18
[6 | 17.59] loss=4.37 avg=5.04
[7 | 19.57] loss=3.98 avg=4.88
[8 | 21.55] loss=4.21 avg=4.80
[9 | 23.53] loss=3.77 avg=4.68
[10 | 25.51] loss=4.15 avg=4.62
[11 | 27.50] loss=3.78 avg=4.54
[12 | 29.47] loss=4.12 avg=4.50
[13 | 31.45] loss=3.93 avg=4.46
[14 | 33.42] loss=3.74 avg=4.40
[15 | 35.41] loss=4.05 avg=4.38
[16 | 37.39] loss=3.83 avg=4.34
[17 | 39.37] loss=3.58 avg=4.29
[18 | 41.36] loss=3.78 avg=4.26
[19 | 43.32] loss=3.38 avg=4.21
[20 | 45.32] loss=3.39 avg=4.17
[21 | 47.29] loss=3.68 avg=4.14
[22 | 49.46] loss=3.63 avg=4.11
[23 | 51.44] loss=3.21 avg=4.07
[24 | 53.41] loss=3.80 avg=4.06
[25 | 55.39] loss=3.81 avg=4.05
[26 | 57.38] loss=3.84 avg=4.04
[27 | 59.35] loss=3.51 avg=4.02
[28 | 61.35] loss=3.51 avg=4.00
[29 | 63.33] loss=3.61 avg=3.98
[30 | 65.31] loss=3.49 avg=3.96
[31 | 67.29] loss=3.71 avg=3.95
[32 | 69.28] loss=3.38 avg=3.93
[33 | 71.26] loss=3.62 avg=3.92
[34 | 73.24] loss=3.51 avg=3.91
[35 | 75.21] loss=3.38 avg=3.89
[36 | 77.21] loss=3.51 avg=3.88
[37 | 79.18] loss=3.70 avg=3.87
[38 | 81.16] loss=3.30 avg=3.85
[39 | 83.14] loss=3.61 avg=3.84
[40 | 85.13] loss=3.52 avg=3.84
[41 | 87.08] loss=3.91 avg=3.84
[42 | 89.07] loss=3.66 avg=3.83
[43 | 91.05] loss=3.47 avg=3.82
[44 | 93.04] loss=3.44 avg=3.81
[45 | 95.01] loss=3.15 avg=3.79
[46 | 97.00] loss=3.41 avg=3.78
[47 | 98.99] loss=3.49 avg=3.77
[48 | 100.97] loss=3.68 avg=3.77
[49 | 102.96] loss=3.56 avg=3.77
[50 | 104.94] loss=3.83 avg=3.77
[51 | 106.93] loss=3.19 avg=3.75
[52 | 108.91] loss=3.49 avg=3.75
[53 | 110.88] loss=3.68 avg=3.75
[54 | 112.88] loss=3.49 avg=3.74
[55 | 114.87] loss=3.54 avg=3.73
[56 | 116.84] loss=3.39 avg=3.73
[57 | 118.84] loss=3.25 avg=3.72
[58 | 120.83] loss=3.45 avg=3.71
[59 | 122.81] loss=3.40 avg=3.70
[60 | 124.78] loss=3.66 avg=3.70
[61 | 126.78] loss=3.62 avg=3.70
[62 | 128.77] loss=3.11 avg=3.69
[63 | 130.75] loss=3.47 avg=3.68
[64 | 132.72] loss=3.32 avg=3.68
[65 | 134.72] loss=3.16 avg=3.66
[66 | 136.71] loss=3.09 avg=3.65
[67 | 138.70] loss=3.71 avg=3.65
[68 | 140.68] loss=3.65 avg=3.65
[69 | 142.67] loss=3.53 avg=3.65
[70 | 144.64] loss=3.04 avg=3.64
[71 | 146.63] loss=3.59 avg=3.64
[72 | 148.63] loss=3.18 avg=3.63
[73 | 150.62] loss=3.17 avg=3.62
[74 | 152.61] loss=3.35 avg=3.62
[75 | 154.57] loss=3.20 avg=3.61
[76 | 156.58] loss=3.53 avg=3.61
[77 | 158.55] loss=3.51 avg=3.60
[78 | 160.53] loss=3.18 avg=3.60
[79 | 162.51] loss=3.65 avg=3.60
[80 | 164.52] loss=3.55 avg=3.60
[81 | 166.51] loss=3.49 avg=3.59
[82 | 168.50] loss=3.59 avg=3.59
[83 | 170.48] loss=3.40 avg=3.59
[84 | 172.47] loss=3.44 avg=3.59
[85 | 174.47] loss=3.37 avg=3.58
[86 | 176.46] loss=3.24 avg=3.58
[87 | 178.46] loss=3.37 avg=3.58
[88 | 180.45] loss=3.72 avg=3.58
[89 | 182.44] loss=3.14 avg=3.57
[90 | 184.43] loss=3.75 avg=3.57
[91 | 186.43] loss=3.36 avg=3.57
[92 | 188.43] loss=3.83 avg=3.57
[93 | 190.43] loss=3.85 avg=3.58
[94 | 192.42] loss=2.95 avg=3.57
[95 | 194.40] loss=3.07 avg=3.56
[96 | 196.39] loss=3.56 avg=3.56
[97 | 198.40] loss=3.55 avg=3.56
[98 | 200.39] loss=3.65 avg=3.56
[99 | 202.40] loss=3.34 avg=3.56
[100 | 204.40] loss=3.41 avg=3.56
[101 | 206.40] loss=3.24 avg=3.55
[102 | 208.40] loss=3.05 avg=3.54
[103 | 210.39] loss=3.56 avg=3.54
[104 | 212.39] loss=3.25 avg=3.54
[105 | 214.39] loss=3.44 avg=3.54
[106 | 216.38] loss=3.36 avg=3.53
[107 | 218.39] loss=3.14 avg=3.53
[108 | 220.37] loss=2.95 avg=3.52
[109 | 222.38] loss=3.45 avg=3.52
[110 | 224.37] loss=3.69 avg=3.52
[111 | 226.35] loss=3.09 avg=3.51
[112 | 228.37] loss=3.31 avg=3.51
[113 | 230.37] loss=3.27 avg=3.51
[114 | 232.36] loss=3.54 avg=3.51
[115 | 234.35] loss=3.35 avg=3.51
[116 | 236.34] loss=3.71 avg=3.51
[117 | 238.33] loss=3.47 avg=3.51
[118 | 240.34] loss=3.20 avg=3.50
[119 | 242.35] loss=3.31 avg=3.50
[120 | 244.34] loss=3.20 avg=3.50
[121 | 246.33] loss=3.43 avg=3.50
[122 | 248.33] loss=3.32 avg=3.49
[123 | 250.33] loss=3.44 avg=3.49
[124 | 252.33] loss=3.53 avg=3.49
[125 | 254.35] loss=3.34 avg=3.49
[126 | 256.35] loss=3.32 avg=3.49
[127 | 258.36] loss=3.54 avg=3.49
[128 | 260.36] loss=2.95 avg=3.48
[129 | 262.36] loss=3.30 avg=3.48
[130 | 264.37] loss=2.83 avg=3.47
[131 | 266.38] loss=3.41 avg=3.47
[132 | 268.37] loss=3.15 avg=3.47
[133 | 270.38] loss=2.79 avg=3.46
[134 | 272.39] loss=3.27 avg=3.45
[135 | 274.38] loss=3.16 avg=3.45
[136 | 276.39] loss=3.20 avg=3.45
[137 | 278.39] loss=3.65 avg=3.45
[138 | 280.39] loss=3.94 avg=3.46
[139 | 282.39] loss=3.35 avg=3.45
[140 | 284.41] loss=3.47 avg=3.45
[141 | 286.40] loss=3.31 avg=3.45
[142 | 288.39] loss=3.67 avg=3.46
[143 | 290.41] loss=3.33 avg=3.45
[144 | 292.41] loss=3.56 avg=3.46
[145 | 294.42] loss=3.03 avg=3.45
[146 | 296.40] loss=3.50 avg=3.45
[147 | 298.40] loss=3.52 avg=3.45
[148 | 300.43] loss=3.11 avg=3.45
[149 | 302.44] loss=3.45 avg=3.45
[150 | 304.42] loss=3.45 avg=3.45
[151 | 306.44] loss=3.23 avg=3.44
[152 | 308.45] loss=3.19 avg=3.44
[153 | 310.44] loss=3.54 avg=3.44
[154 | 312.45] loss=3.62 avg=3.44
[155 | 314.46] loss=3.37 avg=3.44
[156 | 316.47] loss=3.27 avg=3.44
[157 | 318.45] loss=2.65 avg=3.43
[158 | 320.49] loss=2.86 avg=3.42
[159 | 322.51] loss=3.38 avg=3.42
[160 | 324.51] loss=3.23 avg=3.42
[161 | 326.51] loss=3.16 avg=3.42
[162 | 328.54] loss=3.40 avg=3.42
[163 | 330.55] loss=3.34 avg=3.42
[164 | 332.55] loss=3.20 avg=3.41
[165 | 334.57] loss=3.16 avg=3.41
[166 | 336.58] loss=3.27 avg=3.41
[167 | 338.58] loss=3.00 avg=3.40
[168 | 340.60] loss=2.91 avg=3.40
[169 | 342.60] loss=3.25 avg=3.40
[170 | 344.62] loss=3.36 avg=3.40
[171 | 346.62] loss=3.19 avg=3.39
[172 | 348.62] loss=3.10 avg=3.39
[173 | 350.65] loss=3.18 avg=3.39
[174 | 352.66] loss=2.90 avg=3.38
