0 Loading checkpoint models/117M/model.ckpt
0 Loading dataset...
0 dataset has 355216800 tokens
0 Training...
[1 | 5.38] loss=3.46 avg=3.46
[2 | 6.19] loss=5.31 avg=4.39
[3 | 7.00] loss=5.01 avg=4.60
[4 | 7.81] loss=4.47 avg=4.57
[5 | 8.62] loss=4.21 avg=4.49
[6 | 9.43] loss=4.48 avg=4.49
[7 | 10.24] loss=3.84 avg=4.40
[8 | 11.06] loss=4.45 avg=4.40
[9 | 11.88] loss=3.84 avg=4.34
[10 | 12.69] loss=4.18 avg=4.32
[11 | 13.50] loss=3.99 avg=4.29
[12 | 14.32] loss=4.50 avg=4.31
[13 | 15.14] loss=4.16 avg=4.30
[14 | 15.95] loss=4.03 avg=4.28
[15 | 16.77] loss=3.73 avg=4.24
[16 | 17.59] loss=4.53 avg=4.26
[17 | 18.41] loss=4.19 avg=4.25
[18 | 19.22] loss=4.27 avg=4.25
[19 | 20.04] loss=4.17 avg=4.25
[20 | 20.87] loss=4.16 avg=4.24
[21 | 21.68] loss=4.74 avg=4.27
[22 | 22.50] loss=3.78 avg=4.24
[23 | 23.32] loss=3.86 avg=4.23
[24 | 24.14] loss=4.01 avg=4.22
[25 | 24.97] loss=4.20 avg=4.22
[26 | 25.79] loss=3.95 avg=4.20
[27 | 26.61] loss=4.04 avg=4.20
[28 | 27.43] loss=4.17 avg=4.20
[29 | 28.25] loss=4.19 avg=4.20
[30 | 29.08] loss=4.07 avg=4.19
[31 | 29.90] loss=3.68 avg=4.17
[32 | 30.72] loss=3.96 avg=4.16
[33 | 31.55] loss=4.17 avg=4.16
[34 | 32.37] loss=4.06 avg=4.16
[35 | 33.20] loss=4.12 avg=4.16
[36 | 34.02] loss=3.92 avg=4.15
[37 | 34.85] loss=4.05 avg=4.15
[38 | 35.68] loss=4.33 avg=4.15
[39 | 36.51] loss=3.95 avg=4.15
[40 | 37.34] loss=3.98 avg=4.14
[41 | 38.16] loss=3.78 avg=4.13
[42 | 38.99] loss=4.16 avg=4.13
[43 | 39.82] loss=3.73 avg=4.12
[44 | 40.65] loss=3.82 avg=4.11
[45 | 41.48] loss=3.81 avg=4.10
[46 | 42.31] loss=3.50 avg=4.09
[47 | 43.14] loss=4.12 avg=4.09
[48 | 43.97] loss=3.68 avg=4.08
[49 | 44.80] loss=3.82 avg=4.07
[50 | 45.63] loss=3.81 avg=4.06
[51 | 46.46] loss=4.00 avg=4.06
[52 | 47.30] loss=3.91 avg=4.06
[53 | 48.13] loss=3.50 avg=4.05
[54 | 48.97] loss=3.86 avg=4.04
[55 | 49.80] loss=3.96 avg=4.04
[56 | 50.64] loss=3.40 avg=4.02
[57 | 51.47] loss=3.82 avg=4.02
[58 | 52.31] loss=3.73 avg=4.01
[59 | 53.14] loss=3.73 avg=4.01
