1 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
1 Loading dataset...
0 Loading dataset...
1 dataset has 355216800 tokens
1 Training...
0 dataset has 355216800 tokens
0 Training...
ip-172-31-42-235:7425:7449 [0] NCCL INFO Bootstrap : Using [0]ens5:172.31.42.235<0>

ip-172-31-42-235:7425:7449 [0] ofi_init:700 NCCL WARN NET/OFI Only EFA provider is supported
ip-172-31-42-235:7425:7449 [0] NCCL INFO NET/IB : No device found.
ip-172-31-42-235:7425:7449 [0] NCCL INFO NET/Socket : Using [0]ens5:172.31.42.235<0>
NCCL version 2.4.8+cuda10.0
ip-172-31-42-235:7425:7449 [0] NCCL INFO Setting affinity for GPU 0 to ffff,ffffffff
ip-172-31-42-235:7426:7450 [1] NCCL INFO Bootstrap : Using [0]ens5:172.31.42.235<0>

ip-172-31-42-235:7426:7450 [1] ofi_init:700 NCCL WARN NET/OFI Only EFA provider is supported
ip-172-31-42-235:7426:7450 [1] NCCL INFO NET/IB : No device found.
ip-172-31-42-235:7426:7450 [1] NCCL INFO NET/Socket : Using [0]ens5:172.31.42.235<0>
ip-172-31-42-235:7426:7450 [1] NCCL INFO Setting affinity for GPU 1 to ffff,ffffffff
ip-172-31-42-235:7425:7449 [0] NCCL INFO Channel 00 :    0   1
ip-172-31-42-235:7426:7450 [1] NCCL INFO Ring 00 : 1[1] -> 0[0] via direct shared memory
ip-172-31-42-235:7425:7449 [0] NCCL INFO Ring 00 : 0[0] -> 1[1] via direct shared memory
ip-172-31-42-235:7425:7449 [0] NCCL INFO Using 256 threads, Min Comp Cap 7, Trees disabled
ip-172-31-42-235:7426:7450 [1] NCCL INFO comm 0x7f54e0308370 rank 1 nranks 2 cudaDev 1 nvmlDev 1 - Init COMPLETE
ip-172-31-42-235:7425:7449 [0] NCCL INFO comm 0x7f2b542fba40 rank 0 nranks 2 cudaDev 0 nvmlDev 0 - Init COMPLETE
ip-172-31-42-235:7425:7449 [0] NCCL INFO Launch mode Parallel
[1 | 6.41] loss=4.07 avg=4.07
[2 | 7.33] loss=6.52 avg=5.30
[3 | 8.25] loss=4.95 avg=5.18
[4 | 9.16] loss=4.78 avg=5.08
[5 | 10.08] loss=4.13 avg=4.89
[6 | 11.00] loss=4.37 avg=4.80
[7 | 11.92] loss=3.87 avg=4.66
[8 | 12.85] loss=3.79 avg=4.55
[9 | 13.77] loss=4.99 avg=4.60
[10 | 14.70] loss=4.08 avg=4.54
[11 | 15.62] loss=3.86 avg=4.48
[12 | 16.54] loss=3.73 avg=4.41
[13 | 17.47] loss=3.76 avg=4.36
[14 | 18.40] loss=4.23 avg=4.35
[15 | 19.32] loss=3.53 avg=4.29
[16 | 20.25] loss=3.67 avg=4.25
[17 | 21.17] loss=3.76 avg=4.22
[18 | 22.10] loss=3.96 avg=4.20
[19 | 23.03] loss=3.67 avg=4.17
[20 | 23.96] loss=3.77 avg=4.15
[21 | 24.89] loss=3.97 avg=4.14
[22 | 25.82] loss=3.72 avg=4.12
[23 | 26.76] loss=3.46 avg=4.09
[24 | 27.70] loss=3.64 avg=4.07
[25 | 28.63] loss=3.82 avg=4.06
[26 | 29.56] loss=3.45 avg=4.03
[27 | 30.50] loss=3.61 avg=4.01
[28 | 31.43] loss=3.54 avg=3.99
[29 | 32.36] loss=3.23 avg=3.96
[30 | 33.30] loss=4.13 avg=3.97
[31 | 34.24] loss=3.75 avg=3.96
[32 | 35.17] loss=3.59 avg=3.95
[33 | 36.11] loss=3.63 avg=3.94
[34 | 37.05] loss=3.42 avg=3.92
[35 | 37.99] loss=3.58 avg=3.91
[36 | 38.93] loss=4.12 avg=3.91
[37 | 39.87] loss=3.63 avg=3.90
[38 | 40.81] loss=3.87 avg=3.90
[39 | 41.74] loss=3.33 avg=3.89
[40 | 42.69] loss=3.70 avg=3.88
[41 | 43.63] loss=3.31 avg=3.86
[42 | 44.57] loss=3.56 avg=3.85
[43 | 45.51] loss=3.35 avg=3.84
[44 | 46.45] loss=3.54 avg=3.83
[45 | 47.39] loss=3.57 avg=3.82
[46 | 48.33] loss=4.08 avg=3.83
[47 | 49.28] loss=3.73 avg=3.83
[48 | 50.23] loss=3.26 avg=3.81
[49 | 51.17] loss=3.67 avg=3.81
[50 | 52.13] loss=3.71 avg=3.81
[51 | 53.07] loss=3.66 avg=3.80
[52 | 54.02] loss=3.42 avg=3.79
[53 | 54.97] loss=3.54 avg=3.79
[54 | 55.91] loss=3.16 avg=3.77
