0 Loading checkpoint models/117M/model.ckpt
2 Loading checkpoint models/117M/model.ckpt
1 Loading checkpoint models/117M/model.ckpt
2 Loading dataset...
0 Loading dataset...
1 Loading dataset...
0 dataset has 355216800 tokens
0 Training...
1 dataset has 355216800 tokens
1 Training...
2 dataset has 355216800 tokens
2 Training...
[1 | 6.87] loss=3.41 avg=3.41
[2 | 7.80] loss=6.33 avg=4.88
[3 | 8.72] loss=6.38 avg=5.38
[4 | 9.65] loss=4.69 avg=5.20
[5 | 10.58] loss=4.83 avg=5.13
[6 | 11.51] loss=4.04 avg=4.94
[7 | 12.44] loss=3.97 avg=4.80
[8 | 13.37] loss=4.41 avg=4.75
[9 | 14.31] loss=4.00 avg=4.66
[10 | 15.25] loss=4.32 avg=4.63
[11 | 16.19] loss=3.94 avg=4.56
[12 | 17.13] loss=3.88 avg=4.50
[13 | 18.07] loss=4.12 avg=4.47
[14 | 19.01] loss=3.66 avg=4.41
[15 | 19.95] loss=3.68 avg=4.36
[16 | 20.90] loss=3.92 avg=4.33
[17 | 21.85] loss=3.96 avg=4.30
[18 | 22.79] loss=3.77 avg=4.27
[19 | 23.74] loss=4.18 avg=4.27
[20 | 24.68] loss=4.19 avg=4.26
[21 | 25.63] loss=3.50 avg=4.22
[22 | 26.58] loss=3.65 avg=4.19
[23 | 27.53] loss=3.79 avg=4.17
[24 | 28.48] loss=3.67 avg=4.15
[25 | 29.43] loss=3.71 avg=4.13
[26 | 30.38] loss=3.60 avg=4.11
[27 | 31.33] loss=3.63 avg=4.09
[28 | 32.28] loss=3.52 avg=4.06
[29 | 33.24] loss=3.89 avg=4.06
[30 | 34.19] loss=3.66 avg=4.04
[31 | 35.14] loss=3.81 avg=4.03
[32 | 36.10] loss=4.20 avg=4.04
[33 | 37.05] loss=3.47 avg=4.02
[34 | 38.02] loss=3.50 avg=4.00
[35 | 38.98] loss=3.87 avg=4.00
[36 | 39.95] loss=3.62 avg=3.98
[37 | 40.91] loss=3.71 avg=3.98
[38 | 41.87] loss=3.40 avg=3.96
[39 | 42.83] loss=3.46 avg=3.94
[40 | 43.81] loss=3.39 avg=3.92
[41 | 44.77] loss=3.58 avg=3.91
[42 | 45.74] loss=3.35 avg=3.90
[43 | 46.70] loss=3.64 avg=3.89
[44 | 47.68] loss=3.61 avg=3.88
[45 | 48.65] loss=3.60 avg=3.88
[46 | 49.62] loss=3.82 avg=3.87
