0 Loading checkpoint models/117M/model.ckpt
0 Loading dataset...
100%|██████████| 1/1 [00:00<00:00, 128.57it/s]0 dataset has 128814 tokens
0 Training...
2020-05-06 20:12:18.728700: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
[1 | 5.28] loss=3.61 avg=3.61
[2 | 6.14] loss=7.91 avg=5.77
[3 | 6.99] loss=5.94 avg=5.82
[4 | 7.83] loss=5.07 avg=5.63
[5 | 8.68] loss=4.67 avg=5.44
[6 | 9.53] loss=4.53 avg=5.28
[7 | 10.38] loss=4.30 avg=5.14
[8 | 11.23] loss=4.31 avg=5.03
[9 | 12.08] loss=4.27 avg=4.94
[10 | 12.94] loss=4.04 avg=4.85
[11 | 13.79] loss=4.05 avg=4.77
[12 | 14.65] loss=3.87 avg=4.69
[13 | 15.50] loss=4.18 avg=4.65
[14 | 16.36] loss=4.03 avg=4.60
[15 | 17.21] loss=3.66 avg=4.54
[16 | 18.07] loss=3.94 avg=4.50
[17 | 18.93] loss=4.01 avg=4.46
[18 | 19.78] loss=4.01 avg=4.44
[19 | 20.63] loss=3.85 avg=4.40
[20 | 21.49] loss=3.91 avg=4.38
[21 | 22.35] loss=3.47 avg=4.33
[22 | 23.21] loss=3.19 avg=4.27
[23 | 24.07] loss=3.84 avg=4.25
[24 | 24.93] loss=4.03 avg=4.24
[25 | 25.79] loss=3.77 avg=4.22
[26 | 26.65] loss=3.84 avg=4.20
[27 | 27.51] loss=3.38 avg=4.17
[28 | 28.37] loss=3.58 avg=4.14
[29 | 29.24] loss=3.37 avg=4.11
[30 | 30.10] loss=3.17 avg=4.08
[31 | 30.96] loss=3.84 avg=4.07
[32 | 31.83] loss=3.33 avg=4.04
[33 | 32.69] loss=3.52 avg=4.02
[34 | 33.56] loss=2.54 avg=3.97
[35 | 34.43] loss=3.81 avg=3.97
[36 | 35.29] loss=2.95 avg=3.93
[37 | 36.16] loss=3.98 avg=3.93
[38 | 37.03] loss=3.10 avg=3.91
[39 | 37.89] loss=3.80 avg=3.90
[40 | 38.76] loss=2.98 avg=3.88
[41 | 39.63] loss=3.34 avg=3.86
[42 | 40.50] loss=3.46 avg=3.85
[43 | 41.37] loss=3.91 avg=3.85
[44 | 42.24] loss=3.67 avg=3.85
[45 | 43.11] loss=3.08 avg=3.82
[46 | 43.99] loss=3.47 avg=3.82
[47 | 44.86] loss=3.50 avg=3.81
[48 | 45.73] loss=3.64 avg=3.80
[49 | 46.60] loss=3.45 avg=3.79
[50 | 47.48] loss=3.06 avg=3.77
[51 | 48.35] loss=3.56 avg=3.77
[52 | 49.23] loss=3.45 avg=3.76
[53 | 50.11] loss=3.54 avg=3.76
[54 | 50.98] loss=2.89 avg=3.74
[55 | 51.85] loss=3.02 avg=3.72
[56 | 52.73] loss=2.68 avg=3.69
[57 | 53.61] loss=3.09 avg=3.68
[58 | 54.48] loss=3.46 avg=3.68
[59 | 55.36] loss=3.56 avg=3.67
[60 | 56.24] loss=3.85 avg=3.68
[61 | 57.12] loss=2.83 avg=3.66
[62 | 58.00] loss=3.38 avg=3.65
[63 | 58.88] loss=3.25 avg=3.64
[64 | 59.76] loss=2.40 avg=3.62
[65 | 60.64] loss=3.42 avg=3.61
[66 | 61.52] loss=3.35 avg=3.61
[67 | 62.40] loss=2.58 avg=3.59
[68 | 63.28] loss=3.22 avg=3.58
[69 | 64.17] loss=2.33 avg=3.55
[70 | 65.05] loss=2.42 avg=3.53
[71 | 65.93] loss=3.11 avg=3.52
[72 | 66.82] loss=3.43 avg=3.52
[73 | 67.70] loss=2.43 avg=3.50
[74 | 68.59] loss=2.63 avg=3.48
[75 | 69.47] loss=3.96 avg=3.49
[76 | 70.35] loss=2.81 avg=3.48
[77 | 71.24] loss=3.41 avg=3.48
[78 | 72.12] loss=3.61 avg=3.48
[79 | 73.01] loss=2.49 avg=3.46
[80 | 73.89] loss=3.15 avg=3.46
[81 | 74.78] loss=2.83 avg=3.45
[82 | 75.67] loss=3.12 avg=3.44
[83 | 76.56] loss=2.61 avg=3.43
[84 | 77.45] loss=2.44 avg=3.41
[85 | 78.34] loss=2.98 avg=3.40
[86 | 79.23] loss=2.70 avg=3.39
[87 | 80.12] loss=3.04 avg=3.38
[88 | 81.01] loss=2.58 avg=3.37
[89 | 81.90] loss=2.60 avg=3.36
[90 | 82.79] loss=2.33 avg=3.34
[91 | 83.69] loss=3.12 avg=3.34
[92 | 84.58] loss=3.39 avg=3.34
[93 | 85.48] loss=3.16 avg=3.33
[94 | 86.37] loss=3.49 avg=3.34
[95 | 87.26] loss=2.18 avg=3.32
[96 | 88.15] loss=2.56 avg=3.31
[97 | 89.05] loss=2.96 avg=3.30
[98 | 89.94] loss=2.45 avg=3.29
[99 | 90.84] loss=3.05 avg=3.28
[100 | 91.73] loss=2.52 avg=3.27
