0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading dataset...
0 Loading dataset...
100%|██████████| 1/1 [00:00<00:00, 127.07it/s]0 dataset has 128814 tokens
0 Training...
100%|██████████| 1/1 [00:00<00:00, 120.27it/s]0 dataset has 128814 tokens
0 Training...
2020-05-06 21:44:54.406523: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 21:44:54.573902: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
[1 | 6.83] loss=3.67 avg=3.67
[2 | 8.41] loss=8.08 avg=5.89
[3 | 9.98] loss=7.12 avg=6.30
[4 | 11.57] loss=5.40 avg=6.07
[5 | 13.14] loss=4.83 avg=5.82
[6 | 14.71] loss=4.13 avg=5.53
[7 | 16.29] loss=4.30 avg=5.35
[8 | 17.86] loss=4.15 avg=5.20
[9 | 19.43] loss=4.47 avg=5.11
[10 | 21.02] loss=4.30 avg=5.03
[11 | 22.60] loss=4.37 avg=4.96
[12 | 24.18] loss=4.04 avg=4.88
[13 | 25.77] loss=3.85 avg=4.80
[14 | 27.38] loss=3.80 avg=4.72
[15 | 28.96] loss=3.85 avg=4.66
[16 | 30.54] loss=3.65 avg=4.59
[17 | 32.12] loss=3.38 avg=4.52
[18 | 33.73] loss=3.71 avg=4.47
[19 | 35.31] loss=2.97 avg=4.38
[20 | 36.89] loss=2.81 avg=4.29
[21 | 38.48] loss=3.11 avg=4.23
[22 | 40.05] loss=3.36 avg=4.19
[23 | 41.63] loss=3.94 avg=4.18
[24 | 43.21] loss=3.82 avg=4.16
[25 | 44.79] loss=3.56 avg=4.13
[26 | 46.54] loss=3.67 avg=4.11
[27 | 48.14] loss=3.13 avg=4.07
[28 | 49.72] loss=3.60 avg=4.05
[29 | 51.30] loss=3.43 avg=4.03
[30 | 52.90] loss=3.55 avg=4.01
[31 | 54.50] loss=3.46 avg=3.99
[32 | 56.10] loss=3.30 avg=3.96
[33 | 57.69] loss=3.62 avg=3.95
[34 | 59.28] loss=2.82 avg=3.91
[35 | 60.88] loss=2.86 avg=3.88
[36 | 62.47] loss=3.47 avg=3.86
[37 | 64.06] loss=3.37 avg=3.85
[38 | 65.66] loss=3.10 avg=3.82
[39 | 67.25] loss=3.14 avg=3.80
[40 | 68.84] loss=2.61 avg=3.77
[41 | 70.44] loss=3.63 avg=3.76
[42 | 72.04] loss=3.15 avg=3.75
[43 | 73.63] loss=2.41 avg=3.71
[44 | 75.22] loss=3.00 avg=3.69
[45 | 76.81] loss=2.64 avg=3.66
[46 | 78.40] loss=2.51 avg=3.63
[47 | 80.01] loss=2.76 avg=3.60
[48 | 81.60] loss=2.79 avg=3.58
[49 | 83.19] loss=3.12 avg=3.57
[50 | 84.79] loss=3.35 avg=3.57
[51 | 86.39] loss=2.40 avg=3.54
[52 | 88.01] loss=2.04 avg=3.50
[53 | 89.61] loss=1.80 avg=3.46
[54 | 91.22] loss=3.58 avg=3.46
[55 | 92.81] loss=2.22 avg=3.43
[56 | 94.42] loss=2.05 avg=3.40
[57 | 96.01] loss=3.21 avg=3.40
[58 | 97.61] loss=2.10 avg=3.37
[59 | 99.20] loss=2.95 avg=3.36
[60 | 100.82] loss=1.53 avg=3.32
[61 | 102.41] loss=3.19 avg=3.31
[62 | 104.00] loss=2.60 avg=3.30
[63 | 105.59] loss=2.66 avg=3.29
[64 | 107.21] loss=2.90 avg=3.28
[65 | 108.83] loss=2.52 avg=3.26
[66 | 110.42] loss=2.07 avg=3.24
[67 | 112.01] loss=3.26 avg=3.24
[68 | 113.61] loss=1.95 avg=3.21
[69 | 115.21] loss=2.67 avg=3.20
[70 | 116.82] loss=1.75 avg=3.17
[71 | 118.41] loss=2.98 avg=3.17
[72 | 120.03] loss=2.84 avg=3.16
[73 | 121.63] loss=2.58 avg=3.15
[74 | 123.22] loss=1.77 avg=3.12
[75 | 124.83] loss=1.89 avg=3.10
[76 | 126.42] loss=2.32 avg=3.09
[77 | 128.01] loss=3.04 avg=3.09
[78 | 129.59] loss=3.20 avg=3.09
[79 | 131.19] loss=1.45 avg=3.06
[80 | 132.78] loss=2.73 avg=3.05
[81 | 134.38] loss=1.90 avg=3.03
[82 | 135.97] loss=2.04 avg=3.01
[83 | 137.56] loss=2.56 avg=3.01
[84 | 139.16] loss=1.40 avg=2.98
[85 | 140.79] loss=1.91 avg=2.96
[86 | 142.37] loss=1.34 avg=2.93
[87 | 143.96] loss=1.68 avg=2.91
[88 | 145.57] loss=3.12 avg=2.91
[89 | 147.18] loss=1.95 avg=2.90
[90 | 148.78] loss=1.83 avg=2.88
[91 | 150.58] loss=1.45 avg=2.85
[92 | 152.17] loss=2.50 avg=2.85
[93 | 153.77] loss=2.27 avg=2.84
[94 | 155.39] loss=1.43 avg=2.82
[95 | 156.98] loss=1.85 avg=2.80
[96 | 158.57] loss=1.68 avg=2.78
[97 | 160.15] loss=2.18 avg=2.77
[98 | 161.76] loss=2.25 avg=2.76
[99 | 163.34] loss=2.26 avg=2.76
[100 | 164.92] loss=0.97 avg=2.73
[101 | 166.50] loss=0.96 avg=2.70
[102 | 168.10] loss=2.29 avg=2.69
[103 | 169.70] loss=1.92 avg=2.68
[104 | 171.29] loss=1.35 avg=2.66
[105 | 172.89] loss=1.89 avg=2.65
[106 | 174.50] loss=1.90 avg=2.64
[107 | 176.08] loss=2.33 avg=2.63
[108 | 177.67] loss=1.38 avg=2.62
[109 | 179.26] loss=0.55 avg=2.58
[110 | 180.85] loss=2.45 avg=2.58
[111 | 182.45] loss=0.94 avg=2.56
[112 | 184.05] loss=1.29 avg=2.54
[113 | 185.65] loss=1.28 avg=2.52
[114 | 187.24] loss=0.62 avg=2.49
[115 | 188.85] loss=0.94 avg=2.47
[116 | 190.44] loss=2.05 avg=2.46
[117 | 192.03] loss=1.85 avg=2.45
[118 | 193.61] loss=0.62 avg=2.43
[119 | 195.19] loss=0.95 avg=2.41
[120 | 196.78] loss=0.51 avg=2.38
[121 | 198.36] loss=2.30 avg=2.38
[122 | 200.10] loss=2.35 avg=2.38
[123 | 201.71] loss=1.22 avg=2.36
[124 | 203.31] loss=1.85 avg=2.35
[125 | 204.92] loss=1.67 avg=2.35
[126 | 206.53] loss=1.73 avg=2.34
[127 | 208.15] loss=1.64 avg=2.33
[128 | 209.74] loss=0.95 avg=2.31
[129 | 211.34] loss=1.58 avg=2.30
[130 | 212.95] loss=1.07 avg=2.28
[131 | 214.54] loss=1.69 avg=2.27
[132 | 216.12] loss=1.88 avg=2.27
[133 | 217.71] loss=0.81 avg=2.25
[134 | 219.32] loss=0.74 avg=2.23
[135 | 220.90] loss=1.38 avg=2.22
[136 | 222.49] loss=0.97 avg=2.20
[137 | 224.08] loss=1.12 avg=2.19
[138 | 225.66] loss=0.98 avg=2.17
[139 | 227.29] loss=0.79 avg=2.15
[140 | 228.88] loss=0.75 avg=2.13
[141 | 230.47] loss=0.63 avg=2.11
[142 | 232.05] loss=1.88 avg=2.11
[143 | 233.66] loss=0.72 avg=2.09
[144 | 235.40] loss=1.22 avg=2.08
[145 | 237.01] loss=0.91 avg=2.06
[146 | 238.61] loss=0.66 avg=2.05
[147 | 240.21] loss=0.38 avg=2.02
[148 | 241.81] loss=0.76 avg=2.01
[149 | 243.40] loss=0.29 avg=1.99
[150 | 244.99] loss=1.53 avg=1.98
[151 | 246.58] loss=1.79 avg=1.98
[152 | 248.19] loss=0.46 avg=1.96
[153 | 249.78] loss=0.53 avg=1.94
[154 | 251.37] loss=1.07 avg=1.93
[155 | 252.98] loss=1.08 avg=1.92
[156 | 254.58] loss=1.29 avg=1.91
[157 | 256.19] loss=0.54 avg=1.89
[158 | 257.79] loss=0.68 avg=1.88
[159 | 259.39] loss=1.75 avg=1.88
[160 | 260.99] loss=0.24 avg=1.86
[161 | 262.57] loss=0.37 avg=1.84
[162 | 264.22] loss=0.60 avg=1.82
[163 | 265.82] loss=0.37 avg=1.80
[164 | 267.41] loss=0.91 avg=1.79
[165 | 269.01] loss=0.69 avg=1.78
[166 | 270.61] loss=0.41 avg=1.76
[167 | 272.35] loss=0.47 avg=1.75
[168 | 273.96] loss=1.67 avg=1.75
[169 | 275.54] loss=0.57 avg=1.73
[170 | 277.14] loss=0.76 avg=1.72
[171 | 278.74] loss=0.85 avg=1.71
[172 | 280.34] loss=0.47 avg=1.69
[173 | 281.95] loss=0.44 avg=1.68
[174 | 283.54] loss=1.87 avg=1.68
[175 | 285.14] loss=0.57 avg=1.67
[176 | 286.74] loss=0.33 avg=1.65
[177 | 288.34] loss=0.80 avg=1.64
[178 | 289.92] loss=0.73 avg=1.63
[179 | 291.51] loss=0.19 avg=1.61
[180 | 293.10] loss=0.56 avg=1.60
[181 | 294.68] loss=0.30 avg=1.59
[182 | 296.26] loss=0.62 avg=1.57
[183 | 297.85] loss=1.00 avg=1.57
[184 | 299.45] loss=0.18 avg=1.55
[185 | 301.02] loss=2.44 avg=1.56
[186 | 302.65] loss=0.48 avg=1.55
[187 | 304.25] loss=0.37 avg=1.53
[188 | 305.84] loss=0.29 avg=1.52
[189 | 307.42] loss=0.72 avg=1.51
[190 | 309.00] loss=0.55 avg=1.50
[191 | 310.58] loss=0.36 avg=1.49
[192 | 312.17] loss=0.24 avg=1.47
[193 | 313.75] loss=0.29 avg=1.46
[194 | 315.32] loss=0.76 avg=1.45
[195 | 316.90] loss=0.90 avg=1.44
[196 | 318.49] loss=0.16 avg=1.43
[197 | 320.07] loss=0.62 avg=1.42
[198 | 321.67] loss=0.47 avg=1.41
[199 | 323.26] loss=0.40 avg=1.40
[200 | 324.85] loss=0.50 avg=1.39
[201 | 326.44] loss=0.30 avg=1.37
[202 | 328.02] loss=0.28 avg=1.36
[203 | 329.60] loss=0.39 avg=1.35
[204 | 331.20] loss=1.51 avg=1.35
[205 | 332.79] loss=0.43 avg=1.34
[206 | 334.37] loss=0.26 avg=1.33
[207 | 335.96] loss=0.55 avg=1.32
[208 | 337.58] loss=0.47 avg=1.31
[209 | 339.17] loss=0.39 avg=1.30
[210 | 340.75] loss=0.89 avg=1.29
[211 | 342.33] loss=0.24 avg=1.28
[212 | 343.92] loss=0.70 avg=1.28
[213 | 345.51] loss=0.58 avg=1.27
[214 | 347.09] loss=1.02 avg=1.26
[215 | 348.67] loss=0.17 avg=1.25
[216 | 350.29] loss=0.34 avg=1.24
[217 | 351.87] loss=0.24 avg=1.23
[218 | 353.47] loss=0.15 avg=1.22
[219 | 355.07] loss=0.20 avg=1.21
[220 | 356.69] loss=0.35 avg=1.20
[221 | 358.27] loss=0.15 avg=1.19
[222 | 359.88] loss=0.55 avg=1.18
[223 | 361.51] loss=0.23 avg=1.17
[224 | 363.12] loss=0.20 avg=1.16
[225 | 364.73] loss=0.34 avg=1.15
[226 | 366.32] loss=0.32 avg=1.14
[227 | 367.94] loss=0.15 avg=1.13
[228 | 369.57] loss=0.27 avg=1.12
[229 | 371.16] loss=0.09 avg=1.11
[230 | 372.77] loss=0.27 avg=1.10
[231 | 374.37] loss=0.20 avg=1.09
[232 | 375.98] loss=1.52 avg=1.09
[233 | 377.58] loss=0.22 avg=1.08
[234 | 379.19] loss=0.17 avg=1.07
[235 | 380.79] loss=0.29 avg=1.06
[236 | 382.39] loss=0.43 avg=1.06
[237 | 383.98] loss=0.66 avg=1.05
[238 | 385.58] loss=0.31 avg=1.04
[239 | 387.17] loss=0.35 avg=1.04
[240 | 388.78] loss=0.15 avg=1.03
[241 | 390.39] loss=0.21 avg=1.02
[242 | 391.99] loss=0.34 avg=1.01
[243 | 393.58] loss=0.17 avg=1.00
[244 | 395.18] loss=0.38 avg=0.99
[245 | 396.79] loss=0.14 avg=0.99
[246 | 398.41] loss=0.14 avg=0.98
[247 | 400.01] loss=0.16 avg=0.97
[248 | 401.61] loss=0.73 avg=0.96
[249 | 403.25] loss=0.16 avg=0.96
[250 | 404.85] loss=0.35 avg=0.95
[251 | 406.46] loss=0.42 avg=0.94
[252 | 408.05] loss=0.36 avg=0.94
[253 | 409.65] loss=0.37 avg=0.93
[254 | 411.25] loss=0.26 avg=0.92
[255 | 412.84] loss=0.28 avg=0.92
[256 | 414.43] loss=0.25 avg=0.91
[257 | 416.03] loss=0.45 avg=0.90
[258 | 417.63] loss=0.14 avg=0.90
[259 | 419.23] loss=0.25 avg=0.89
[260 | 420.83] loss=0.12 avg=0.88
[261 | 422.45] loss=0.21 avg=0.87
[262 | 424.04] loss=0.40 avg=0.87
[263 | 425.65] loss=0.13 avg=0.86
[264 | 427.24] loss=0.24 avg=0.85
[265 | 428.84] loss=0.15 avg=0.85
[266 | 430.43] loss=0.16 avg=0.84
[267 | 432.04] loss=0.71 avg=0.84
[268 | 433.62] loss=0.11 avg=0.83
[269 | 435.22] loss=0.15 avg=0.82
[270 | 436.81] loss=0.90 avg=0.82
[271 | 438.40] loss=0.35 avg=0.82
[272 | 440.17] loss=0.19 avg=0.81
[273 | 441.77] loss=0.15 avg=0.80
[274 | 443.36] loss=0.15 avg=0.80
[275 | 444.96] loss=0.32 avg=0.79
[276 | 446.55] loss=0.31 avg=0.79
[277 | 448.16] loss=0.26 avg=0.78
[278 | 449.75] loss=0.50 avg=0.78
[279 | 451.33] loss=0.13 avg=0.77
[280 | 452.92] loss=0.21 avg=0.77
[281 | 454.51] loss=0.15 avg=0.76
[282 | 456.09] loss=0.17 avg=0.75
[283 | 457.68] loss=0.18 avg=0.75
[284 | 459.27] loss=0.18 avg=0.74
[285 | 460.86] loss=0.17 avg=0.73
[286 | 462.44] loss=0.13 avg=0.73
[287 | 464.05] loss=0.68 avg=0.73
[288 | 465.67] loss=0.15 avg=0.72
[289 | 467.26] loss=0.23 avg=0.72
[290 | 468.86] loss=0.31 avg=0.71
[291 | 470.50] loss=0.09 avg=0.71
[292 | 472.09] loss=0.11 avg=0.70
[293 | 473.68] loss=0.20 avg=0.69
[294 | 475.27] loss=0.19 avg=0.69
[295 | 476.92] loss=0.11 avg=0.68
[296 | 478.52] loss=0.14 avg=0.68
[297 | 480.11] loss=0.52 avg=0.68
[298 | 481.70] loss=0.23 avg=0.67
[299 | 483.30] loss=0.08 avg=0.66
[300 | 484.90] loss=0.06 avg=0.66
[301 | 486.49] loss=0.15 avg=0.65
[302 | 488.08] loss=0.15 avg=0.65
