0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading dataset...
0 Loading dataset...
0 Loading dataset...
100%|██████████| 1/1 [00:00<00:00, 126.80it/s]0 dataset has 128814 tokens
0 Training...
100%|██████████| 1/1 [00:00<00:00, 120.26it/s]0 dataset has 128814 tokens
0 Training...
0 dataset has 128814 tokens
0 Training...
2020-05-06 21:28:33.403416: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 21:28:33.522598: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 21:28:33.733742: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
[1 | 7.28] loss=4.02 avg=4.02
[2 | 9.10] loss=7.52 avg=5.78
[3 | 10.92] loss=6.28 avg=5.95
[4 | 12.74] loss=5.03 avg=5.71
[5 | 14.57] loss=4.55 avg=5.48
[6 | 16.40] loss=4.23 avg=5.26
[7 | 18.22] loss=4.31 avg=5.12
[8 | 20.05] loss=4.17 avg=5.00
[9 | 21.89] loss=3.86 avg=4.87
[10 | 23.73] loss=3.75 avg=4.75
[11 | 25.56] loss=3.85 avg=4.66
[12 | 27.40] loss=3.58 avg=4.57
[13 | 29.23] loss=3.91 avg=4.51
[14 | 31.07] loss=3.92 avg=4.47
[15 | 32.90] loss=3.65 avg=4.41
[16 | 34.74] loss=3.54 avg=4.35
[17 | 36.56] loss=3.20 avg=4.28
[18 | 38.40] loss=3.22 avg=4.21
[19 | 40.23] loss=3.41 avg=4.17
[20 | 42.07] loss=3.50 avg=4.13
[21 | 43.91] loss=3.38 avg=4.09
[22 | 45.75] loss=3.72 avg=4.07
[23 | 47.58] loss=2.93 avg=4.02
[24 | 49.42] loss=3.00 avg=3.97
[25 | 51.26] loss=3.18 avg=3.93
[26 | 53.10] loss=2.95 avg=3.89
[27 | 54.93] loss=3.08 avg=3.86
[28 | 56.77] loss=2.83 avg=3.82
[29 | 58.61] loss=2.69 avg=3.77
[30 | 60.46] loss=3.18 avg=3.75
[31 | 62.30] loss=3.13 avg=3.73
[32 | 64.13] loss=2.29 avg=3.67
[33 | 65.97] loss=2.32 avg=3.63
[34 | 67.81] loss=2.94 avg=3.60
[35 | 69.65] loss=2.59 avg=3.57
[36 | 71.49] loss=3.00 avg=3.55
[37 | 73.33] loss=3.69 avg=3.55
[38 | 75.18] loss=2.57 avg=3.52
[39 | 77.02] loss=2.82 avg=3.50
[40 | 78.86] loss=3.18 avg=3.49
[41 | 80.70] loss=2.48 avg=3.46
[42 | 82.55] loss=2.80 avg=3.44
[43 | 84.40] loss=2.16 avg=3.41
[44 | 86.24] loss=1.71 avg=3.36
[45 | 88.08] loss=2.96 avg=3.35
[46 | 89.93] loss=1.93 avg=3.31
[47 | 91.78] loss=3.08 avg=3.30
[48 | 93.62] loss=2.69 avg=3.29
[49 | 95.46] loss=1.51 avg=3.24
[50 | 97.30] loss=3.14 avg=3.24
[51 | 99.15] loss=2.15 avg=3.21
[52 | 100.99] loss=2.45 avg=3.19
[53 | 102.83] loss=2.20 avg=3.17
[54 | 104.68] loss=2.62 avg=3.16
[55 | 106.52] loss=2.73 avg=3.15
[56 | 108.36] loss=2.64 avg=3.13
[57 | 110.21] loss=2.21 avg=3.11
[58 | 112.05] loss=1.99 avg=3.09
[59 | 113.89] loss=1.76 avg=3.06
[60 | 115.73] loss=2.53 avg=3.05
[61 | 117.58] loss=2.58 avg=3.04
[62 | 119.42] loss=2.31 avg=3.02
[63 | 121.27] loss=1.95 avg=3.00
[64 | 123.11] loss=2.07 avg=2.98
[65 | 124.96] loss=1.82 avg=2.95
[66 | 126.81] loss=3.04 avg=2.96
[67 | 128.65] loss=1.41 avg=2.92
[68 | 130.49] loss=1.70 avg=2.90
[69 | 132.34] loss=1.47 avg=2.87
[70 | 134.19] loss=2.40 avg=2.86
[71 | 136.04] loss=1.63 avg=2.84
[72 | 137.89] loss=2.31 avg=2.83
[73 | 139.73] loss=1.97 avg=2.81
[74 | 141.58] loss=1.65 avg=2.79
[75 | 143.43] loss=1.42 avg=2.76
[76 | 145.28] loss=1.30 avg=2.74
[77 | 147.13] loss=2.35 avg=2.73
[78 | 148.98] loss=1.47 avg=2.70
[79 | 150.83] loss=1.64 avg=2.69
[80 | 152.68] loss=2.65 avg=2.68
[81 | 154.53] loss=1.69 avg=2.67
[82 | 156.38] loss=1.15 avg=2.64
[83 | 158.22] loss=1.83 avg=2.63
[84 | 160.07] loss=1.64 avg=2.61
[85 | 161.92] loss=2.14 avg=2.60
[86 | 163.77] loss=1.50 avg=2.58
[87 | 165.62] loss=1.10 avg=2.56
[88 | 167.47] loss=1.29 avg=2.53
[89 | 169.31] loss=1.12 avg=2.51
[90 | 171.16] loss=1.70 avg=2.50
[91 | 173.01] loss=1.71 avg=2.48
[92 | 174.86] loss=0.72 avg=2.45
[93 | 176.71] loss=1.22 avg=2.43
[94 | 178.56] loss=1.77 avg=2.42
[95 | 180.42] loss=0.72 avg=2.40
[96 | 182.26] loss=1.37 avg=2.38
[97 | 184.11] loss=0.66 avg=2.35
[98 | 185.97] loss=2.45 avg=2.35
[99 | 187.81] loss=0.94 avg=2.33
[100 | 189.67] loss=0.76 avg=2.31
[101 | 191.52] loss=0.65 avg=2.28
[102 | 193.37] loss=0.45 avg=2.25
[103 | 195.22] loss=0.48 avg=2.22
[104 | 197.06] loss=1.10 avg=2.21
[105 | 198.92] loss=0.72 avg=2.18
[106 | 200.76] loss=0.78 avg=2.16
[107 | 202.63] loss=0.38 avg=2.13
[108 | 204.48] loss=1.85 avg=2.13
[109 | 206.33] loss=0.47 avg=2.11
[110 | 208.18] loss=1.76 avg=2.10
[111 | 210.03] loss=1.35 avg=2.09
[112 | 211.88] loss=0.44 avg=2.06
[113 | 213.74] loss=1.24 avg=2.05
[114 | 215.59] loss=1.05 avg=2.04
[115 | 217.44] loss=1.43 avg=2.03
[116 | 219.29] loss=1.29 avg=2.02
[117 | 221.14] loss=1.28 avg=2.01
[118 | 223.00] loss=0.61 avg=1.99
[119 | 224.86] loss=0.54 avg=1.97
[120 | 226.70] loss=0.57 avg=1.95
[121 | 228.55] loss=0.61 avg=1.93
[122 | 230.41] loss=0.69 avg=1.91
[123 | 232.26] loss=0.72 avg=1.89
[124 | 234.11] loss=1.12 avg=1.88
[125 | 235.96] loss=0.56 avg=1.86
[126 | 237.82] loss=0.49 avg=1.85
[127 | 239.68] loss=1.09 avg=1.83
[128 | 241.54] loss=0.60 avg=1.82
[129 | 243.39] loss=0.53 avg=1.80
[130 | 245.24] loss=2.29 avg=1.81
[131 | 247.09] loss=0.55 avg=1.79
[132 | 248.95] loss=1.92 avg=1.79
[133 | 250.81] loss=0.32 avg=1.77
[134 | 252.66] loss=0.85 avg=1.76
[135 | 254.51] loss=0.31 avg=1.74
[136 | 256.36] loss=0.76 avg=1.73
[137 | 258.21] loss=1.62 avg=1.72
[138 | 260.07] loss=0.28 avg=1.71
[139 | 261.91] loss=0.38 avg=1.69
[140 | 263.75] loss=0.64 avg=1.67
[141 | 265.58] loss=0.19 avg=1.65
[142 | 267.42] loss=0.28 avg=1.64
[143 | 269.25] loss=0.34 avg=1.62
[144 | 271.29] loss=0.60 avg=1.61
[145 | 273.10] loss=0.34 avg=1.59
[146 | 274.93] loss=0.65 avg=1.58
[147 | 276.76] loss=0.27 avg=1.56
[148 | 278.59] loss=0.36 avg=1.55
[149 | 280.43] loss=0.38 avg=1.53
[150 | 282.25] loss=0.53 avg=1.52
[151 | 284.09] loss=0.52 avg=1.50
[152 | 285.92] loss=0.07 avg=1.49
[153 | 287.75] loss=0.86 avg=1.48
[154 | 289.58] loss=0.19 avg=1.46
[155 | 291.40] loss=0.41 avg=1.45
[156 | 293.23] loss=0.42 avg=1.44
[157 | 295.06] loss=0.31 avg=1.42
[158 | 296.90] loss=0.28 avg=1.41
[159 | 298.73] loss=0.20 avg=1.39
[160 | 300.56] loss=0.53 avg=1.38
[161 | 302.40] loss=0.36 avg=1.37
[162 | 304.22] loss=0.37 avg=1.36
[163 | 306.26] loss=0.12 avg=1.34
[164 | 308.08] loss=0.48 avg=1.33
[165 | 309.91] loss=0.23 avg=1.32
[166 | 311.74] loss=0.23 avg=1.30
[167 | 313.57] loss=0.23 avg=1.29
[168 | 315.41] loss=0.14 avg=1.28
[169 | 317.24] loss=0.40 avg=1.26
[170 | 319.06] loss=0.29 avg=1.25
[171 | 320.90] loss=0.62 avg=1.25
[172 | 322.74] loss=0.19 avg=1.23
[173 | 324.58] loss=0.09 avg=1.22
[174 | 326.42] loss=0.07 avg=1.20
[175 | 328.26] loss=0.15 avg=1.19
[176 | 330.10] loss=0.56 avg=1.18
[177 | 331.94] loss=0.32 avg=1.17
[178 | 333.99] loss=0.17 avg=1.16
[179 | 335.83] loss=0.34 avg=1.15
[180 | 337.68] loss=0.12 avg=1.14
[181 | 339.51] loss=0.29 avg=1.13
[182 | 341.36] loss=0.33 avg=1.12
[183 | 343.21] loss=0.67 avg=1.11
[184 | 345.05] loss=0.19 avg=1.10
[185 | 346.89] loss=0.24 avg=1.09
[186 | 348.73] loss=0.67 avg=1.09
[187 | 350.57] loss=0.14 avg=1.08
[188 | 352.41] loss=0.21 avg=1.07
[189 | 354.25] loss=0.10 avg=1.06
[190 | 356.10] loss=0.16 avg=1.04
[191 | 357.94] loss=0.21 avg=1.03
[192 | 359.79] loss=0.15 avg=1.02
[193 | 361.64] loss=0.29 avg=1.02
[194 | 363.50] loss=0.17 avg=1.01
[195 | 365.35] loss=0.14 avg=1.00
[196 | 367.20] loss=0.08 avg=0.99
[197 | 369.04] loss=0.29 avg=0.98
[198 | 370.89] loss=0.22 avg=0.97
[199 | 372.76] loss=0.11 avg=0.96
[200 | 374.61] loss=0.11 avg=0.95
[201 | 376.45] loss=0.15 avg=0.94
[202 | 378.30] loss=0.12 avg=0.93
[203 | 380.13] loss=0.12 avg=0.92
[204 | 381.99] loss=0.20 avg=0.91
[205 | 383.84] loss=0.17 avg=0.90
[206 | 385.69] loss=0.09 avg=0.89
[207 | 387.54] loss=0.16 avg=0.89
[208 | 389.39] loss=0.15 avg=0.88
[209 | 391.24] loss=0.28 avg=0.87
[210 | 393.09] loss=0.20 avg=0.86
[211 | 394.95] loss=0.09 avg=0.85
[212 | 396.79] loss=0.48 avg=0.85
[213 | 398.64] loss=0.13 avg=0.84
[214 | 400.49] loss=0.32 avg=0.84
[215 | 402.34] loss=0.08 avg=0.83
[216 | 404.18] loss=0.15 avg=0.82
[217 | 406.04] loss=0.11 avg=0.81
[218 | 407.89] loss=0.85 avg=0.81
[219 | 409.74] loss=0.34 avg=0.81
[220 | 411.60] loss=0.09 avg=0.80
[221 | 413.45] loss=0.07 avg=0.79
[222 | 415.29] loss=0.09 avg=0.78
[223 | 417.15] loss=0.10 avg=0.78
[224 | 419.00] loss=0.09 avg=0.77
[225 | 420.85] loss=0.12 avg=0.76
[226 | 422.71] loss=0.12 avg=0.75
[227 | 424.57] loss=0.12 avg=0.75
[228 | 426.41] loss=0.09 avg=0.74
[229 | 428.27] loss=0.08 avg=0.73
[230 | 430.12] loss=0.14 avg=0.73
[231 | 431.96] loss=0.26 avg=0.72
[232 | 433.81] loss=0.12 avg=0.71
[233 | 435.66] loss=0.07 avg=0.71
[234 | 437.52] loss=0.09 avg=0.70
[235 | 439.38] loss=0.10 avg=0.69
[236 | 441.24] loss=0.08 avg=0.69
[237 | 443.09] loss=0.10 avg=0.68
[238 | 444.95] loss=0.09 avg=0.67
[239 | 446.80] loss=0.07 avg=0.67
[240 | 448.66] loss=0.08 avg=0.66
[241 | 450.51] loss=0.09 avg=0.65
[242 | 452.36] loss=0.09 avg=0.65
[243 | 454.21] loss=0.09 avg=0.64
[244 | 456.07] loss=0.08 avg=0.64
[245 | 457.91] loss=0.10 avg=0.63
[246 | 459.76] loss=0.07 avg=0.62
[247 | 461.61] loss=0.06 avg=0.62
[248 | 463.47] loss=0.42 avg=0.62
[249 | 465.33] loss=0.05 avg=0.61
[250 | 467.18] loss=0.05 avg=0.60
[251 | 469.04] loss=0.20 avg=0.60
[252 | 470.89] loss=0.12 avg=0.59
[253 | 472.73] loss=0.18 avg=0.59
[254 | 474.58] loss=0.12 avg=0.58
[255 | 476.43] loss=0.06 avg=0.58
[256 | 478.29] loss=0.08 avg=0.57
[257 | 480.13] loss=0.12 avg=0.57
[258 | 481.99] loss=0.07 avg=0.56
[259 | 483.85] loss=0.04 avg=0.56
[260 | 485.71] loss=0.06 avg=0.55
[261 | 487.55] loss=0.06 avg=0.55
