0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading dataset...
0 Loading dataset...
0 Loading dataset...
  0%|          | 0/1 [00:00<?, ?it/s]0 Loading dataset...
100%|██████████| 1/1 [00:00<00:00, 119.30it/s]0 dataset has 128814 tokens
0 Training...
100%|██████████| 1/1 [00:00<00:00, 122.40it/s]0 dataset has 128814 tokens
0 Training...
0 dataset has 128814 tokens
0 Training...
100%|██████████| 1/1 [00:00<00:00, 121.12it/s]0 dataset has 128814 tokens
0 Training...
2020-05-06 21:09:18.756497: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 21:09:18.860584: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 21:09:18.934383: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 21:09:18.948862: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
[1 | 7.25] loss=3.86 avg=3.86
[2 | 9.21] loss=8.70 avg=6.29
[3 | 11.17] loss=7.43 avg=6.67
[4 | 13.14] loss=5.15 avg=6.29
[5 | 15.10] loss=4.66 avg=5.95
[6 | 17.06] loss=4.28 avg=5.67
[7 | 19.02] loss=4.33 avg=5.47
[8 | 20.98] loss=4.08 avg=5.29
[9 | 22.92] loss=4.07 avg=5.15
[10 | 24.92] loss=4.21 avg=5.05
[11 | 26.87] loss=3.78 avg=4.93
[12 | 28.86] loss=3.25 avg=4.78
[13 | 30.82] loss=3.73 avg=4.70
[14 | 32.77] loss=3.74 avg=4.62
[15 | 34.75] loss=3.67 avg=4.56
[16 | 36.71] loss=3.58 avg=4.49
[17 | 38.67] loss=3.38 avg=4.42
[18 | 40.64] loss=3.70 avg=4.38
[19 | 42.60] loss=3.45 avg=4.32
[20 | 44.57] loss=3.29 avg=4.27
[21 | 46.54] loss=3.46 avg=4.22
[22 | 48.49] loss=3.37 avg=4.18
[23 | 50.45] loss=3.40 avg=4.14
[24 | 52.43] loss=3.43 avg=4.11
[25 | 54.39] loss=3.19 avg=4.07
[26 | 56.37] loss=3.20 avg=4.03
[27 | 58.34] loss=3.45 avg=4.01
[28 | 60.30] loss=3.24 avg=3.97
[29 | 62.28] loss=3.19 avg=3.94
[30 | 64.25] loss=2.91 avg=3.90
[31 | 66.20] loss=2.98 avg=3.87
[32 | 68.19] loss=2.57 avg=3.82
[33 | 70.16] loss=2.82 avg=3.79
[34 | 72.12] loss=2.88 avg=3.76
[35 | 74.09] loss=3.05 avg=3.73
[36 | 76.06] loss=3.06 avg=3.71
[37 | 78.02] loss=2.38 avg=3.67
[38 | 79.99] loss=2.31 avg=3.62
[39 | 81.96] loss=2.77 avg=3.60
[40 | 83.93] loss=2.60 avg=3.57
[41 | 85.91] loss=2.77 avg=3.54
[42 | 87.86] loss=2.67 avg=3.52
[43 | 89.86] loss=2.11 avg=3.48
[44 | 91.83] loss=3.16 avg=3.47
[45 | 93.81] loss=2.63 avg=3.45
[46 | 95.79] loss=2.87 avg=3.43
[47 | 97.77] loss=3.55 avg=3.43
[48 | 99.75] loss=2.22 avg=3.40
[49 | 101.73] loss=2.01 avg=3.37
[50 | 103.69] loss=1.80 avg=3.33
[51 | 105.68] loss=1.56 avg=3.28
[52 | 107.67] loss=2.21 avg=3.26
[53 | 109.64] loss=2.10 avg=3.23
[54 | 111.62] loss=2.10 avg=3.20
[55 | 113.60] loss=2.12 avg=3.18
[56 | 115.58] loss=1.52 avg=3.14
[57 | 117.55] loss=2.11 avg=3.11
[58 | 119.54] loss=3.00 avg=3.11
[59 | 121.51] loss=2.78 avg=3.10
[60 | 123.48] loss=1.60 avg=3.07
[61 | 125.48] loss=2.22 avg=3.05
[62 | 127.46] loss=1.97 avg=3.03
[63 | 129.44] loss=1.27 avg=2.99
[64 | 131.42] loss=2.29 avg=2.98
[65 | 133.41] loss=1.99 avg=2.96
[66 | 135.38] loss=1.36 avg=2.92
[67 | 137.37] loss=1.56 avg=2.89
[68 | 139.35] loss=1.25 avg=2.86
[69 | 141.31] loss=1.54 avg=2.83
[70 | 143.31] loss=1.21 avg=2.80
[71 | 145.29] loss=1.54 avg=2.78
[72 | 147.28] loss=1.52 avg=2.75
[73 | 149.26] loss=1.56 avg=2.73
[74 | 151.24] loss=1.43 avg=2.71
[75 | 153.20] loss=1.35 avg=2.68
[76 | 155.20] loss=1.38 avg=2.66
[77 | 157.18] loss=0.93 avg=2.62
[78 | 159.17] loss=1.14 avg=2.60
[79 | 161.15] loss=1.61 avg=2.58
[80 | 163.14] loss=1.03 avg=2.55
[81 | 165.13] loss=1.13 avg=2.52
[82 | 167.12] loss=1.17 avg=2.50
[83 | 169.10] loss=1.27 avg=2.48
[84 | 171.08] loss=1.96 avg=2.47
