0 Loading checkpoint models/117M/model.ckpt
0 Loading dataset...
0 dataset has 128814 tokens
0 Training...
[1 | 5.39] loss=3.62 avg=3.62
[2 | 6.26] loss=9.74 avg=6.69
[3 | 7.12] loss=6.93 avg=6.77
[4 | 7.98] loss=5.47 avg=6.44
[5 | 8.84] loss=5.03 avg=6.16
[6 | 9.70] loss=5.36 avg=6.02
[7 | 10.57] loss=4.02 avg=5.73
[8 | 11.43] loss=4.63 avg=5.58
[9 | 12.30] loss=4.47 avg=5.45
[10 | 13.17] loss=4.26 avg=5.33
[11 | 14.04] loss=4.36 avg=5.24
[12 | 14.91] loss=4.20 avg=5.14
[13 | 15.78] loss=3.97 avg=5.05
[14 | 16.66] loss=4.20 avg=4.98
[15 | 17.53] loss=4.07 avg=4.92
[16 | 18.41] loss=3.60 avg=4.83
[17 | 19.29] loss=4.09 avg=4.78
[18 | 20.16] loss=3.50 avg=4.71
[19 | 21.04] loss=4.02 avg=4.67
[20 | 21.92] loss=4.18 avg=4.64
[21 | 22.81] loss=3.72 avg=4.59
[22 | 23.70] loss=3.65 avg=4.54
[23 | 24.58] loss=3.54 avg=4.50
[24 | 25.47] loss=3.90 avg=4.47
[25 | 26.36] loss=4.17 avg=4.45
[26 | 27.25] loss=3.90 avg=4.43
[27 | 28.14] loss=3.67 avg=4.40
[28 | 29.03] loss=3.34 avg=4.35
[29 | 29.91] loss=3.32 avg=4.31
[30 | 30.80] loss=3.85 avg=4.30
[31 | 31.69] loss=3.65 avg=4.27
[32 | 32.58] loss=3.42 avg=4.24
[33 | 33.47] loss=4.13 avg=4.24
[34 | 34.37] loss=3.62 avg=4.22
[35 | 35.26] loss=3.62 avg=4.20
[36 | 36.16] loss=3.49 avg=4.17
[37 | 37.05] loss=3.40 avg=4.15
[38 | 37.95] loss=3.89 avg=4.14
[39 | 38.85] loss=3.63 avg=4.12
[40 | 39.75] loss=3.38 avg=4.10
[41 | 40.65] loss=3.42 avg=4.08
[42 | 41.56] loss=3.34 avg=4.06
[43 | 42.46] loss=3.62 avg=4.05
[44 | 43.37] loss=3.86 avg=4.04
[45 | 44.28] loss=3.39 avg=4.02
[46 | 45.19] loss=3.30 avg=4.00
[47 | 46.11] loss=3.12 avg=3.98
[48 | 47.02] loss=3.05 avg=3.96
[49 | 47.94] loss=3.01 avg=3.93
[50 | 48.85] loss=3.02 avg=3.91
[51 | 49.78] loss=3.07 avg=3.89
[52 | 50.70] loss=2.38 avg=3.85
[53 | 51.62] loss=3.18 avg=3.84
[54 | 52.55] loss=3.80 avg=3.83
[55 | 53.47] loss=3.31 avg=3.82
[56 | 54.40] loss=3.09 avg=3.81
[57 | 55.33] loss=3.26 avg=3.79
[58 | 56.25] loss=3.46 avg=3.79
[59 | 57.19] loss=2.91 avg=3.77
[60 | 58.12] loss=2.93 avg=3.75
[61 | 59.06] loss=2.69 avg=3.72
[62 | 60.00] loss=3.11 avg=3.71
[63 | 60.94] loss=3.32 avg=3.70
[64 | 61.88] loss=2.57 avg=3.68
[65 | 62.83] loss=3.44 avg=3.67
[66 | 63.77] loss=2.92 avg=3.66
[67 | 64.72] loss=3.06 avg=3.65
[68 | 65.67] loss=2.94 avg=3.63
[69 | 66.63] loss=2.57 avg=3.61
[70 | 67.59] loss=2.64 avg=3.59
[71 | 68.54] loss=2.66 avg=3.57
[72 | 69.50] loss=2.59 avg=3.55
[73 | 70.47] loss=2.99 avg=3.54
[74 | 71.43] loss=2.52 avg=3.52
[75 | 72.40] loss=2.86 avg=3.51
[76 | 73.37] loss=3.93 avg=3.52
[77 | 74.34] loss=2.93 avg=3.51
[78 | 75.31] loss=3.66 avg=3.51
[79 | 76.29] loss=3.35 avg=3.51
[80 | 77.26] loss=2.62 avg=3.49
[81 | 78.24] loss=2.64 avg=3.48
[82 | 79.21] loss=3.50 avg=3.48
[83 | 80.19] loss=2.75 avg=3.46
[84 | 81.18] loss=2.22 avg=3.44
[85 | 82.16] loss=1.92 avg=3.42
[86 | 83.15] loss=3.51 avg=3.42
[87 | 84.14] loss=2.98 avg=3.41
[88 | 85.13] loss=3.38 avg=3.41
[89 | 86.12] loss=2.63 avg=3.40
[90 | 87.12] loss=2.99 avg=3.39
[91 | 88.11] loss=2.83 avg=3.38
[92 | 89.11] loss=3.55 avg=3.38
[93 | 90.10] loss=1.65 avg=3.35
[94 | 91.10] loss=2.23 avg=3.34
[95 | 92.09] loss=2.09 avg=3.32
[96 | 93.08] loss=1.98 avg=3.29
[97 | 94.07] loss=2.60 avg=3.28
[98 | 95.07] loss=1.76 avg=3.26
[99 | 96.06] loss=1.31 avg=3.23
[100 | 97.05] loss=2.84 avg=3.22
[101 | 98.04] loss=2.29 avg=3.21
[102 | 99.04] loss=2.88 avg=3.20
[103 | 100.03] loss=2.30 avg=3.19
[104 | 101.02] loss=2.00 avg=3.17
[105 | 102.02] loss=2.54 avg=3.16
[106 | 103.02] loss=2.96 avg=3.16
[107 | 104.01] loss=2.63 avg=3.15
[108 | 105.01] loss=2.67 avg=3.14
[109 | 106.00] loss=3.09 avg=3.14
[110 | 107.00] loss=3.12 avg=3.14
[111 | 107.99] loss=2.17 avg=3.13
[112 | 108.98] loss=2.42 avg=3.12
[113 | 109.98] loss=2.49 avg=3.11
[114 | 110.97] loss=2.31 avg=3.09
[115 | 111.97] loss=2.60 avg=3.09
[116 | 112.96] loss=3.65 avg=3.10
[117 | 113.95] loss=2.24 avg=3.08
[118 | 114.95] loss=1.86 avg=3.07
[119 | 115.94] loss=3.37 avg=3.07
[120 | 116.94] loss=2.43 avg=3.06
[121 | 117.93] loss=2.90 avg=3.06
[122 | 118.92] loss=1.84 avg=3.04
[123 | 119.91] loss=2.00 avg=3.03
[124 | 120.90] loss=2.24 avg=3.02
[125 | 121.90] loss=2.93 avg=3.01
[126 | 122.89] loss=2.11 avg=3.00
[127 | 123.89] loss=2.55 avg=3.00
[128 | 124.88] loss=1.98 avg=2.98
[129 | 125.87] loss=1.79 avg=2.97
