2 Loading checkpoint models/117M/model.ckpt
1 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
2 Loading dataset...
0 Loading dataset...
1 Loading dataset...
2 dataset has 128814 tokens
2 Training...
1 dataset has 128814 tokens
1 Training...
0 dataset has 128814 tokens
0 Training...
ip-172-31-42-235:9549:9587 [0] NCCL INFO Bootstrap : Using [0]ens5:172.31.42.235<0>

ip-172-31-42-235:9549:9587 [0] ofi_init:700 NCCL WARN NET/OFI Only EFA provider is supported
ip-172-31-42-235:9549:9587 [0] NCCL INFO NET/IB : No device found.
ip-172-31-42-235:9549:9587 [0] NCCL INFO NET/Socket : Using [0]ens5:172.31.42.235<0>
NCCL version 2.4.8+cuda10.0
ip-172-31-42-235:9550:9586 [1] NCCL INFO Bootstrap : Using [0]ens5:172.31.42.235<0>
ip-172-31-42-235:9551:9585 [2] NCCL INFO Bootstrap : Using [0]ens5:172.31.42.235<0>

ip-172-31-42-235:9550:9586 [1] ofi_init:700 NCCL WARN NET/OFI Only EFA provider is supported

ip-172-31-42-235:9551:9585 [2] ofi_init:700 NCCL WARN NET/OFI Only EFA provider is supported
ip-172-31-42-235:9550:9586 [1] NCCL INFO NET/IB : No device found.
ip-172-31-42-235:9551:9585 [2] NCCL INFO NET/IB : No device found.
ip-172-31-42-235:9550:9586 [1] NCCL INFO NET/Socket : Using [0]ens5:172.31.42.235<0>
ip-172-31-42-235:9551:9585 [2] NCCL INFO NET/Socket : Using [0]ens5:172.31.42.235<0>
ip-172-31-42-235:9549:9587 [0] NCCL INFO Setting affinity for GPU 0 to ffff,ffffffff
ip-172-31-42-235:9551:9585 [2] NCCL INFO Setting affinity for GPU 2 to ffff,ffffffff
ip-172-31-42-235:9550:9586 [1] NCCL INFO Setting affinity for GPU 1 to ffff,ffffffff
ip-172-31-42-235:9549:9587 [0] NCCL INFO Channel 00 :    0   1   2
ip-172-31-42-235:9551:9585 [2] NCCL INFO Ring 00 : 2[2] -> 0[0] via direct shared memory
ip-172-31-42-235:9550:9586 [1] NCCL INFO Ring 00 : 1[1] -> 2[2] via direct shared memory
ip-172-31-42-235:9549:9587 [0] NCCL INFO Ring 00 : 0[0] -> 1[1] via direct shared memory
ip-172-31-42-235:9549:9587 [0] NCCL INFO Using 256 threads, Min Comp Cap 7, Trees disabled
ip-172-31-42-235:9551:9585 [2] NCCL INFO comm 0x7fbdb030d510 rank 2 nranks 3 cudaDev 2 nvmlDev 2 - Init COMPLETE
ip-172-31-42-235:9549:9587 [0] NCCL INFO comm 0x7fccc832ff80 rank 0 nranks 3 cudaDev 0 nvmlDev 0 - Init COMPLETE
ip-172-31-42-235:9550:9586 [1] NCCL INFO comm 0x7f01d8312c40 rank 1 nranks 3 cudaDev 1 nvmlDev 1 - Init COMPLETE
ip-172-31-42-235:9549:9587 [0] NCCL INFO Launch mode Parallel
[1 | 6.80] loss=3.86 avg=3.86
[2 | 7.77] loss=9.21 avg=6.55
[3 | 8.72] loss=8.85 avg=7.32
[4 | 9.69] loss=6.49 avg=7.11
[5 | 10.64] loss=5.21 avg=6.73
[6 | 11.59] loss=5.05 avg=6.44
[7 | 12.56] loss=4.74 avg=6.19
[8 | 13.54] loss=4.55 avg=5.98
[9 | 14.50] loss=4.28 avg=5.78
[10 | 15.47] loss=4.20 avg=5.62
[11 | 16.43] loss=4.30 avg=5.49
[12 | 17.41] loss=3.95 avg=5.35
[13 | 18.37] loss=4.11 avg=5.25
[14 | 19.34] loss=3.90 avg=5.15
[15 | 20.31] loss=3.63 avg=5.04
[16 | 21.28] loss=3.89 avg=4.96
[17 | 22.26] loss=3.83 avg=4.89
[18 | 23.23] loss=3.90 avg=4.83
[19 | 24.21] loss=3.61 avg=4.76
[20 | 25.19] loss=3.47 avg=4.69
[21 | 26.17] loss=3.65 avg=4.64
[22 | 27.15] loss=3.36 avg=4.57
[23 | 28.14] loss=3.52 avg=4.52
[24 | 29.12] loss=3.57 avg=4.48
[25 | 30.10] loss=2.95 avg=4.41
[26 | 31.10] loss=3.52 avg=4.37
[27 | 32.10] loss=3.43 avg=4.33
[28 | 33.09] loss=3.82 avg=4.31
[29 | 34.09] loss=3.23 avg=4.27
[30 | 35.09] loss=3.42 avg=4.23
[31 | 36.09] loss=3.26 avg=4.20
[32 | 37.10] loss=3.02 avg=4.15
[33 | 38.10] loss=2.67 avg=4.10
[34 | 39.11] loss=3.22 avg=4.07
[35 | 40.13] loss=3.29 avg=4.05
[36 | 41.14] loss=3.35 avg=4.02
[37 | 42.16] loss=2.53 avg=3.97
[38 | 43.20] loss=3.18 avg=3.95
[39 | 44.22] loss=3.41 avg=3.93
[40 | 45.24] loss=2.99 avg=3.90
[41 | 46.26] loss=2.75 avg=3.87
[42 | 47.30] loss=2.46 avg=3.83
[43 | 48.34] loss=2.76 avg=3.80
[44 | 49.36] loss=2.45 avg=3.76
[45 | 50.39] loss=2.72 avg=3.73
[46 | 51.43] loss=2.49 avg=3.70
[47 | 52.48] loss=2.33 avg=3.66
[48 | 53.53] loss=2.34 avg=3.63
[49 | 54.58] loss=3.72 avg=3.63
[50 | 55.62] loss=3.13 avg=3.62
[51 | 56.67] loss=2.67 avg=3.59
[52 | 57.73] loss=3.07 avg=3.58
[53 | 58.79] loss=1.96 avg=3.54
[54 | 59.83] loss=2.43 avg=3.52
[55 | 60.89] loss=2.56 avg=3.49
[56 | 61.95] loss=3.20 avg=3.49
[57 | 63.00] loss=2.07 avg=3.45
[58 | 64.08] loss=2.49 avg=3.43
[59 | 65.16] loss=2.13 avg=3.40
[60 | 66.23] loss=2.82 avg=3.39
[61 | 67.31] loss=2.65 avg=3.37
[62 | 68.39] loss=2.67 avg=3.36
[63 | 69.46] loss=2.20 avg=3.33
[64 | 70.53] loss=1.78 avg=3.30
[65 | 71.62] loss=1.85 avg=3.27
