0 Loading checkpoint models/117M/model.ckpt
2 Loading checkpoint models/117M/model.ckpt
1 Loading checkpoint models/117M/model.ckpt
3 Loading checkpoint models/117M/model.ckpt
0 Loading dataset...
1 Loading dataset...
2 Loading dataset...
3 Loading dataset...
0 dataset has 128814 tokens
0 Training...
1 dataset has 128814 tokens
1 Training...
2 dataset has 128814 tokens
2 Training...
3 dataset has 128814 tokens
3 Training...
ip-172-31-42-235:8208:8256 [0] NCCL INFO Bootstrap : Using [0]ens5:172.31.42.235<0>

ip-172-31-42-235:8208:8256 [0] ofi_init:700 NCCL WARN NET/OFI Only EFA provider is supported
ip-172-31-42-235:8208:8256 [0] NCCL INFO NET/IB : No device found.
ip-172-31-42-235:8208:8256 [0] NCCL INFO NET/Socket : Using [0]ens5:172.31.42.235<0>
NCCL version 2.4.8+cuda10.0
ip-172-31-42-235:8209:8257 [1] NCCL INFO Bootstrap : Using [0]ens5:172.31.42.235<0>
ip-172-31-42-235:8210:8258 [2] NCCL INFO Bootstrap : Using [0]ens5:172.31.42.235<0>

ip-172-31-42-235:8209:8257 [1] ofi_init:700 NCCL WARN NET/OFI Only EFA provider is supported

ip-172-31-42-235:8210:8258 [2] ofi_init:700 NCCL WARN NET/OFI Only EFA provider is supported
ip-172-31-42-235:8209:8257 [1] NCCL INFO NET/IB : No device found.
ip-172-31-42-235:8210:8258 [2] NCCL INFO NET/IB : No device found.
ip-172-31-42-235:8209:8257 [1] NCCL INFO NET/Socket : Using [0]ens5:172.31.42.235<0>
ip-172-31-42-235:8210:8258 [2] NCCL INFO NET/Socket : Using [0]ens5:172.31.42.235<0>
ip-172-31-42-235:8211:8259 [3] NCCL INFO Bootstrap : Using [0]ens5:172.31.42.235<0>

ip-172-31-42-235:8211:8259 [3] ofi_init:700 NCCL WARN NET/OFI Only EFA provider is supported
ip-172-31-42-235:8211:8259 [3] NCCL INFO NET/IB : No device found.
ip-172-31-42-235:8211:8259 [3] NCCL INFO NET/Socket : Using [0]ens5:172.31.42.235<0>
ip-172-31-42-235:8208:8256 [0] NCCL INFO Setting affinity for GPU 0 to ffff,ffffffff
ip-172-31-42-235:8210:8258 [2] NCCL INFO Setting affinity for GPU 2 to ffff,ffffffff
ip-172-31-42-235:8209:8257 [1] NCCL INFO Setting affinity for GPU 1 to ffff,ffffffff
ip-172-31-42-235:8211:8259 [3] NCCL INFO Setting affinity for GPU 3 to ffff,ffffffff
ip-172-31-42-235:8208:8256 [0] NCCL INFO Channel 00 :    0   1   2   3
ip-172-31-42-235:8211:8259 [3] NCCL INFO Ring 00 : 3[3] -> 0[0] via direct shared memory
ip-172-31-42-235:8210:8258 [2] NCCL INFO Ring 00 : 2[2] -> 3[3] via direct shared memory
ip-172-31-42-235:8209:8257 [1] NCCL INFO Ring 00 : 1[1] -> 2[2] via direct shared memory
ip-172-31-42-235:8208:8256 [0] NCCL INFO Ring 00 : 0[0] -> 1[1] via direct shared memory
ip-172-31-42-235:8208:8256 [0] NCCL INFO Using 256 threads, Min Comp Cap 7, Trees disabled
ip-172-31-42-235:8210:8258 [2] NCCL INFO comm 0x7fa2b832cc90 rank 2 nranks 4 cudaDev 2 nvmlDev 2 - Init COMPLETE
ip-172-31-42-235:8208:8256 [0] NCCL INFO comm 0x7f79e4361170 rank 0 nranks 4 cudaDev 0 nvmlDev 0 - Init COMPLETE
ip-172-31-42-235:8209:8257 [1] NCCL INFO comm 0x7f5d203092d0 rank 1 nranks 4 cudaDev 1 nvmlDev 1 - Init COMPLETE
ip-172-31-42-235:8211:8259 [3] NCCL INFO comm 0x7f166c310100 rank 3 nranks 4 cudaDev 3 nvmlDev 3 - Init COMPLETE
ip-172-31-42-235:8208:8256 [0] NCCL INFO Launch mode Parallel
[1 | 7.05] loss=3.67 avg=3.67
[2 | 7.98] loss=10.72 avg=7.21
[3 | 8.91] loss=8.70 avg=7.71
[4 | 9.83] loss=6.04 avg=7.29
[5 | 10.76] loss=5.04 avg=6.83
[6 | 11.69] loss=4.60 avg=6.45
[7 | 12.62] loss=4.29 avg=6.13
[8 | 13.55] loss=4.26 avg=5.89
[9 | 14.47] loss=4.07 avg=5.68
[10 | 15.40] loss=4.06 avg=5.51
[11 | 16.33] loss=3.67 avg=5.33
[12 | 17.27] loss=3.78 avg=5.20
[13 | 18.21] loss=3.81 avg=5.08
[14 | 19.14] loss=3.50 avg=4.96
[15 | 20.08] loss=3.64 avg=4.87
[16 | 21.02] loss=3.89 avg=4.80
[17 | 21.95] loss=3.56 avg=4.72
[18 | 22.89] loss=3.41 avg=4.64
[19 | 23.83] loss=3.73 avg=4.59
[20 | 24.77] loss=3.14 avg=4.51
[21 | 25.70] loss=3.53 avg=4.46
[22 | 26.65] loss=3.56 avg=4.42
[23 | 27.59] loss=3.48 avg=4.37
[24 | 28.53] loss=2.93 avg=4.30
[25 | 29.47] loss=3.26 avg=4.26
[26 | 30.41] loss=3.48 avg=4.22
[27 | 31.36] loss=2.68 avg=4.16
[28 | 32.30] loss=3.31 avg=4.12
[29 | 33.26] loss=3.35 avg=4.09
[30 | 34.21] loss=2.57 avg=4.03
[31 | 35.15] loss=2.69 avg=3.98
[32 | 36.10] loss=3.13 avg=3.95
[33 | 37.06] loss=2.69 avg=3.91
[34 | 38.01] loss=3.03 avg=3.88
[35 | 38.96] loss=2.83 avg=3.84
[36 | 39.91] loss=3.06 avg=3.82
[37 | 40.87] loss=3.09 avg=3.79
[38 | 41.82] loss=2.90 avg=3.76
[39 | 42.79] loss=3.23 avg=3.75
[40 | 43.74] loss=2.92 avg=3.72
[41 | 44.70] loss=2.66 avg=3.69
[42 | 45.67] loss=2.80 avg=3.67
[43 | 46.63] loss=3.29 avg=3.65
[44 | 47.59] loss=2.80 avg=3.63
[45 | 48.56] loss=2.48 avg=3.60
[46 | 49.52] loss=2.68 avg=3.57
[47 | 50.48] loss=2.42 avg=3.54
[48 | 51.45] loss=1.95 avg=3.50
[49 | 52.40] loss=2.03 avg=3.46
[50 | 53.38] loss=1.96 avg=3.43
[51 | 54.34] loss=3.21 avg=3.42
[52 | 55.32] loss=2.55 avg=3.40
[53 | 56.29] loss=2.57 avg=3.38
[54 | 57.25] loss=2.14 avg=3.35
[55 | 58.22] loss=2.37 avg=3.33
[56 | 59.19] loss=2.34 avg=3.30
[57 | 60.15] loss=1.87 avg=3.27
[58 | 61.12] loss=2.97 avg=3.26
[59 | 62.08] loss=1.95 avg=3.23
[60 | 63.05] loss=2.16 avg=3.21
[61 | 64.03] loss=2.02 avg=3.19
[62 | 65.00] loss=1.44 avg=3.15
[63 | 65.98] loss=2.31 avg=3.13
[64 | 66.95] loss=2.84 avg=3.12
[65 | 67.92] loss=1.67 avg=3.09
[66 | 68.89] loss=2.17 avg=3.07
[67 | 69.85] loss=2.06 avg=3.05
[68 | 70.83] loss=1.22 avg=3.02
[69 | 71.81] loss=1.75 avg=2.99
[70 | 72.77] loss=1.28 avg=2.96
[71 | 73.74] loss=1.36 avg=2.93
[72 | 74.72] loss=1.72 avg=2.90
[73 | 75.69] loss=1.57 avg=2.88
[74 | 76.67] loss=2.04 avg=2.86
[75 | 77.64] loss=2.52 avg=2.85
[76 | 78.62] loss=1.91 avg=2.84
[77 | 79.60] loss=1.09 avg=2.80
[78 | 80.57] loss=1.94 avg=2.79
[79 | 81.55] loss=1.03 avg=2.76
[80 | 82.53] loss=1.00 avg=2.72
[81 | 83.51] loss=1.66 avg=2.71
[82 | 84.49] loss=1.03 avg=2.68
[83 | 85.47] loss=1.38 avg=2.65
[84 | 86.45] loss=0.61 avg=2.62
[85 | 87.43] loss=0.51 avg=2.58
[86 | 88.41] loss=1.57 avg=2.56
[87 | 89.41] loss=1.09 avg=2.54
[88 | 90.39] loss=1.32 avg=2.52
[89 | 91.38] loss=1.03 avg=2.49
[90 | 92.36] loss=1.04 avg=2.47
[91 | 93.35] loss=1.17 avg=2.45
[92 | 94.34] loss=1.45 avg=2.43
[93 | 95.33] loss=1.52 avg=2.41
[94 | 96.33] loss=1.72 avg=2.40
[95 | 97.33] loss=1.94 avg=2.40
[96 | 98.33] loss=0.47 avg=2.36
[97 | 99.32] loss=2.16 avg=2.36
[98 | 100.32] loss=0.55 avg=2.33
[99 | 101.32] loss=1.10 avg=2.31
[100 | 102.31] loss=1.05 avg=2.29
[101 | 103.31] loss=1.42 avg=2.28
[102 | 104.32] loss=0.72 avg=2.25
[103 | 105.33] loss=0.51 avg=2.23
[104 | 106.34] loss=0.70 avg=2.20
[105 | 107.34] loss=0.49 avg=2.18
[106 | 108.35] loss=0.52 avg=2.15
[107 | 109.38] loss=1.51 avg=2.14
[108 | 110.41] loss=0.73 avg=2.12
[109 | 111.43] loss=0.56 avg=2.10
[110 | 112.47] loss=0.21 avg=2.07
[111 | 113.50] loss=0.40 avg=2.04
[112 | 114.52] loss=0.77 avg=2.03
