---------
Variables: name (type shape) [size]
---------
model/wpe:0 (float32_ref 1024x768) [786432, bytes: 3145728]
model/wte:0 (float32_ref 50257x768) [38597376, bytes: 154389504]
model/h0/ln_1/g:0 (float32_ref 768) [768, bytes: 3072]
model/h0/ln_1/b:0 (float32_ref 768) [768, bytes: 3072]
model/h0/attn/c_attn/w:0 (float32_ref 1x768x2304) [1769472, bytes: 7077888]
model/h0/attn/c_attn/b:0 (float32_ref 2304) [2304, bytes: 9216]
model/h0/attn/c_proj/w:0 (float32_ref 1x768x768) [589824, bytes: 2359296]
model/h0/attn/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h0/ln_2/g:0 (float32_ref 768) [768, bytes: 3072]
model/h0/ln_2/b:0 (float32_ref 768) [768, bytes: 3072]
model/h0/mlp/c_fc/w:0 (float32_ref 1x768x3072) [2359296, bytes: 9437184]
model/h0/mlp/c_fc/b:0 (float32_ref 3072) [3072, bytes: 12288]
model/h0/mlp/c_proj/w:0 (float32_ref 1x3072x768) [2359296, bytes: 9437184]
model/h0/mlp/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h1/ln_1/g:0 (float32_ref 768) [768, bytes: 3072]
model/h1/ln_1/b:0 (float32_ref 768) [768, bytes: 3072]
model/h1/attn/c_attn/w:0 (float32_ref 1x768x2304) [1769472, bytes: 7077888]
model/h1/attn/c_attn/b:0 (float32_ref 2304) [2304, bytes: 9216]
model/h1/attn/c_proj/w:0 (float32_ref 1x768x768) [589824, bytes: 2359296]
model/h1/attn/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h1/ln_2/g:0 (float32_ref 768) [768, bytes: 3072]
model/h1/ln_2/b:0 (float32_ref 768) [768, bytes: 3072]
model/h1/mlp/c_fc/w:0 (float32_ref 1x768x3072) [2359296, bytes: 9437184]
model/h1/mlp/c_fc/b:0 (float32_ref 3072) [3072, bytes: 12288]
model/h1/mlp/c_proj/w:0 (float32_ref 1x3072x768) [2359296, bytes: 9437184]
model/h1/mlp/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h2/ln_1/g:0 (float32_ref 768) [768, bytes: 3072]
model/h2/ln_1/b:0 (float32_ref 768) [768, bytes: 3072]
model/h2/attn/c_attn/w:0 (float32_ref 1x768x2304) [1769472, bytes: 7077888]
model/h2/attn/c_attn/b:0 (float32_ref 2304) [2304, bytes: 9216]
model/h2/attn/c_proj/w:0 (float32_ref 1x768x768) [589824, bytes: 2359296]
model/h2/attn/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h2/ln_2/g:0 (float32_ref 768) [768, bytes: 3072]
model/h2/ln_2/b:0 (float32_ref 768) [768, bytes: 3072]
model/h2/mlp/c_fc/w:0 (float32_ref 1x768x3072) [2359296, bytes: 9437184]
model/h2/mlp/c_fc/b:0 (float32_ref 3072) [3072, bytes: 12288]
model/h2/mlp/c_proj/w:0 (float32_ref 1x3072x768) [2359296, bytes: 9437184]
model/h2/mlp/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h3/ln_1/g:0 (float32_ref 768) [768, bytes: 3072]
model/h3/ln_1/b:0 (float32_ref 768) [768, bytes: 3072]
model/h3/attn/c_attn/w:0 (float32_ref 1x768x2304) [1769472, bytes: 7077888]
model/h3/attn/c_attn/b:0 (float32_ref 2304) [2304, bytes: 9216]
model/h3/attn/c_proj/w:0 (float32_ref 1x768x768) [589824, bytes: 2359296]
model/h3/attn/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h3/ln_2/g:0 (float32_ref 768) [768, bytes: 3072]
model/h3/ln_2/b:0 (float32_ref 768) [768, bytes: 3072]
model/h3/mlp/c_fc/w:0 (float32_ref 1x768x3072) [2359296, bytes: 9437184]
model/h3/mlp/c_fc/b:0 (float32_ref 3072) [3072, bytes: 12288]
model/h3/mlp/c_proj/w:0 (float32_ref 1x3072x768) [2359296, bytes: 9437184]
model/h3/mlp/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h4/ln_1/g:0 (float32_ref 768) [768, bytes: 3072]
model/h4/ln_1/b:0 (float32_ref 768) [768, bytes: 3072]
model/h4/attn/c_attn/w:0 (float32_ref 1x768x2304) [1769472, bytes: 7077888]
model/h4/attn/c_attn/b:0 (float32_ref 2304) [2304, bytes: 9216]
model/h4/attn/c_proj/w:0 (float32_ref 1x768x768) [589824, bytes: 2359296]
model/h4/attn/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h4/ln_2/g:0 (float32_ref 768) [768, bytes: 3072]
model/h4/ln_2/b:0 (float32_ref 768) [768, bytes: 3072]
model/h4/mlp/c_fc/w:0 (float32_ref 1x768x3072) [2359296, bytes: 9437184]
model/h4/mlp/c_fc/b:0 (float32_ref 3072) [3072, bytes: 12288]
model/h4/mlp/c_proj/w:0 (float32_ref 1x3072x768) [2359296, bytes: 9437184]
model/h4/mlp/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h5/ln_1/g:0 (float32_ref 768) [768, bytes: 3072]
model/h5/ln_1/b:0 (float32_ref 768) [768, bytes: 3072]
model/h5/attn/c_attn/w:0 (float32_ref 1x768x2304) [1769472, bytes: 7077888]
model/h5/attn/c_attn/b:0 (float32_ref 2304) [2304, bytes: 9216]
model/h5/attn/c_proj/w:0 (float32_ref 1x768x768) [589824, bytes: 2359296]
model/h5/attn/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h5/ln_2/g:0 (float32_ref 768) [768, bytes: 3072]
model/h5/ln_2/b:0 (float32_ref 768) [768, bytes: 3072]
model/h5/mlp/c_fc/w:0 (float32_ref 1x768x3072) [2359296, bytes: 9437184]
model/h5/mlp/c_fc/b:0 (float32_ref 3072) [3072, bytes: 12288]
model/h5/mlp/c_proj/w:0 (float32_ref 1x3072x768) [2359296, bytes: 9437184]
model/h5/mlp/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h6/ln_1/g:0 (float32_ref 768) [768, bytes: 3072]
model/h6/ln_1/b:0 (float32_ref 768) [768, bytes: 3072]
model/h6/attn/c_attn/w:0 (float32_ref 1x768x2304) [1769472, bytes: 7077888]
model/h6/attn/c_attn/b:0 (float32_ref 2304) [2304, bytes: 9216]
